stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_desc,wheelchair_boarding,platform_code,location_type,parent_station,stop_timezone,stop_url,tts_stop_name,zone_id,Capital Needs
1433,1433,OHIO RIVER BLVD + LAUREL,40.501937,-80.076208,,,,0,,,,,,
9263,9263,BUTLER ST + 52ND ST,40.480536,-79.954463,,,,0,,,,,,
5743,5743,GREENTREE RD + BANBURY,40.406612,-80.052778,,,,0,,,,,,
17371,17371,MCKEE RD + CCAC WEST,40.437271,-80.19163,,,,0,,,,,,
5950,5950,WASHINGTON RD + SHADY DR,40.3831111,-80.0437871,,,,0,,,,,,
4111,4111,STEUBEN ST + #211,40.441242,-80.036666,,,,0,,,,,,
3305,3305,FREEPORT RD + CENTER AVE,40.490011,-79.90552,,,,0,,,,,,
11270,11270,WORTHINGTON AVE + 9TH,40.2921,-79.891598,,,,0,,,,,,
100042,BLR110,Perry Hwy + Highland Ave,40.5221076,-80.0344108,,,,0,,,,,,ADA pads
9969,9969,DESIDERIO BLVD + SOLTIS,40.286547,-79.895825,,,,0,,,,,,
20242,20242,ST CLAIR AVE + MILLER AVE FS,40.292534,-79.883233,,,,0,,,,,,
9990,9990,BROWNSVILLE RD + E MEYERS AVE,40.399731,-79.989003,,,,0,,,,,,
10010483,BLR302,6th St + Sinclair St,40.3501769,-79.8617418,,0,,0,,,,,,
13405,13405,FREEPORT RD + LENGEL,40.634599,-79.7135,,,,0,,,,,,
7138,7138,KELLY ST + WEST,40.441169,-79.891419,,,,0,,,,,,
12809,12809,FREEPORT RD + #153,40.56787,-79.776113,,,,0,,,,,,
6718,6718,BOGGS AVE + WARRINGTON,40.415577,-80.011391,,,,0,,,,,,
6662,6662,GRANDVIEW AVE + LABELLE,40.436393,-80.0157291,,,,0,,,,,,
14968,14968,BUTLER ST + 49TH,40.477139,-79.956902,,,,0,,,,,,
21154,19406,EDGEWOOD AVE + ELM ST FS,40.431744,-79.884461,,,,0,,,,,,
239,239,MCKNIGHT RD + U-HAUL,40.51645,-80.004397,,,,0,,,,,,
20517,20517,LOWRIE ST + HOFF ST,40.461989,-79.984108,,,,0,,,,,,
3164,3164,CALIFORNIA AVE + KUNKLE WAY,40.459939,-80.025195,,,,0,,,,,,
