Route,Route_Full_Name,Mode,Day_Type,Avg_Riders
69,69 - TRAFFORD,Bus,SAT.,267.5
71A,71A - NEGLEY,Bus,SAT.,1698
71B,71B - HIGHLAND PARK,Bus,SAT.,2888.5
71C,71C - POINT BREEZE,Bus,SAT.,2509.75
71D,71D - HAMILTON,Bus,SAT.,1505
74,74 - HOMEWOOD-SQUIRREL HILL,Bus,SAT.,314.75
75,75 - ELLSWORTH,Bus,SAT.,1899.5
77,77 - PENN HILLS,Bus,SAT.,835.75
79,79 - EAST HILLS,Bus,SAT.,596.25
8,8 - PERRYSVILLE,Bus,SAT.,1092.5
81,81 - OAK HILL,Bus,SAT.,811.75
82,82 - LINCOLN,Bus,SAT.,2496.75
83,83 - BEDFORD HILL,Bus,SAT.,899.5
86,86 - LIBERTY,Bus,SAT.,1729
87,87 - FRIENDSHIP,Bus,SAT.,747.25
88,88 - PENN,Bus,SAT.,826.75
89,89 - GARFIELD COMMONS,Bus,SAT.,138
91,91 - BUTLER STREET,Bus,SAT.,1373
93,93 - LAWRENCEVILLE - HAZELWOOD,Bus,SAT.,567
99E,NULL,Bus,SAT.,979.5
99N,NULL,Bus,SAT.,714.5
99S,NULL,Bus,SAT.,163
99W,NULL,Bus,SAT.,604.5
BLUE,BLUE - SouthHills Village via Overbrook,Rail,SAT.,3777.25
G2,G2 - WEST BUSWAY,Bus,SAT.,760.75
MI,MONONGAHELA INCLINE,Incline,SAT.,2074.75
P1,P1 - EAST BUSWAY-ALL STOPS,Bus,SAT.,4111.75
P68,P68 - BRADDOCK HILLS FLYER,Bus,SAT.,830.5
RED,RED - Castle Shannon via Beechview,Rail,SAT.,7688.75
SLVR,SLVR - Libary via Overbrook,Rail,SAT.,1986.5
Y46,Y46 - ELIZABETH FLYER,Bus,SAT.,534.5
Y47,Y47 - CURRY FLYER,Bus,SAT.,382.5
Y49,Y49 - PROSPECT FLYER,Bus,SAT.,524.5
1,1 - FREEPORT ROAD,Bus,SUN.,906.5
11,11 - FINEVIEW,Bus,SUN.,125.75
12,12 - MCKNIGHT,Bus,SUN.,627
13,13 - BELLEVUE,Bus,SUN.,522.75
14,14 - OHIO VALLEY,Bus,SUN.,239.5
15,15 - CHARLES,Bus,SUN.,370
16,16 - BRIGHTON,Bus,SUN.,1151.5
17,17 - SHADELAND,Bus,SUN.,456.75
2,2 - MOUNT ROYAL,Bus,SUN.,134.75
20,20 - KENNEDY,Bus,SUN.,109.5
21,21 - CORAOPOLIS,Bus,SUN.,473.25
22,22 - MCCOY,Bus,SUN.,190.75
24,24 - WEST PARK,Bus,SUN.,618.75
26,26 - CHARTIERS,Bus,SUN.,255
27,27 - FAIRYWOOD,Bus,SUN.,342
28X,28X - AIRPORT FLYER,Bus,SUN.,1014.75
29,29 - ROBINSON,Bus,SUN.,244
31,31 - BRIDGEVILLE,Bus,SUN.,423.5
36,36 - BANKSVILLE,Bus,SUN.,57
38,38 - GREEN TREE,Bus,SUN.,159.75
39,39 - BROOKLINE,Bus,SUN.,108
4,4 - TROY HILL,Bus,SUN.,87.75
40,40 - MOUNT WASHINGTON,Bus,SUN.,112
41,41 - BOWER HILL,Bus,SUN.,221.25
43,43 - BAILEY,Bus,SUN.,196.25
44,44 - VIA KNOXVILLE,Bus,SUN.,171.25
48,48 - ARLINGTON,Bus,SUN.,772.5
51,51 - CARRICK,Bus,SUN.,2856.5
53,53 - HOMESTEAD PARK,Bus,SUN.,121
54,54 - NORTH SIDE-OAKLAND-SOUTH SIDE,Bus,SUN.,1327.75
55,55 - GLASSPORT,Bus,SUN.,550.75
56,56 - LINCOLN PLACE,Bus,SUN.,505.25
57,57 - HAZELWOOD,Bus,SUN.,595.25
58,58 - GREENFIELD,Bus,SUN.,110
59,59 - MON VALLEY,Bus,SUN.,1235.25
6,6 - SPRING HILL,Bus,SUN.,563.75
60,60 - MCKEESPORT - WALNUT,Bus,SUN.,145.75
61A,61A - NORTH BRADDOCK,Bus,SUN.,2687.75
61B,61B - BRADDOCK-SWISSVALE,Bus,SUN.,2034.25
61C,61C - MCKEESPORT-HOMESTEAD,Bus,SUN.,2873.5
61D,61D - MURRAY,Bus,SUN.,1525.75
64,64 - LAWRENCEVILLE - WATERFRONT,Bus,SUN.,1043.5
67,67 - MONROEVILLE,Bus,SUN.,691.25
69,69 - TRAFFORD,Bus,SUN.,181.25
71A,71A - NEGLEY,Bus,SUN.,1164.25
71B,71B - HIGHLAND PARK,Bus,SUN.,1887.5
71C,71C - POINT BREEZE,Bus,SUN.,1648.75
71D,71D - HAMILTON,Bus,SUN.,911
74,74 - HOMEWOOD-SQUIRREL HILL,Bus,SUN.,183
75,75 - ELLSWORTH,Bus,SUN.,1431.75
77,77 - PENN HILLS,Bus,SUN.,653
79,79 - EAST HILLS,Bus,SUN.,306.5
8,8 - PERRYSVILLE,Bus,SUN.,771
81,81 - OAK HILL,Bus,SUN.,565.25
82,82 - LINCOLN,Bus,SUN.,1945.5
83,83 - BEDFORD HILL,Bus,SUN.,706.25
86,86 - LIBERTY,Bus,SUN.,1150.25
87,87 - FRIENDSHIP,Bus,SUN.,238
88,88 - PENN,Bus,SUN.,506.75
89,89 - GARFIELD COMMONS,Bus,SUN.,91
91,91 - BUTLER STREET,Bus,SUN.,835.75
93,93 - LAWRENCEVILLE - HAZELWOOD,Bus,SUN.,430
BLUE,BLUE - SouthHills Village via Overbrook,Rail,SUN.,581.75
G2,G2 - WEST BUSWAY,Bus,SUN.,479.5
MI,MONONGAHELA INCLINE,Incline,SUN.,467.5
P1,P1 - EAST BUSWAY-ALL STOPS,Bus,SUN.,2412.5
P68,P68 - BRADDOCK HILLS FLYER,Bus,SUN.,726.5
RED,RED - Castle Shannon via Beechview,Rail,SUN.,2776
SLVR,SLVR - Libary via Overbrook,Rail,SUN.,880.75
Y46,Y46 - ELIZABETH FLYER,Bus,SUN.,411.25
Y49,Y49 - PROSPECT FLYER,Bus,SUN.,416.5
1,1 - FREEPORT ROAD,Bus,WEEKDAY,1669.681818
11,11 - FINEVIEW,Bus,WEEKDAY,394.7272727
12,12 - MCKNIGHT,Bus,WEEKDAY,1134.5
13,13 - BELLEVUE,Bus,WEEKDAY,1540.727273
14,14 - OHIO VALLEY,Bus,WEEKDAY,540.6363636
15,15 - CHARLES,Bus,WEEKDAY,774
16,16 - BRIGHTON,Bus,WEEKDAY,2243.090909
17,17 - SHADELAND,Bus,WEEKDAY,948.7272727
18,18 - MANCHESTER,Bus,WEEKDAY,33.54545455
19L,19L - EMSWORTH LIMITED,Bus,WEEKDAY,248.1818182
2,2 - MOUNT ROYAL,Bus,WEEKDAY,448.1363636
20,20 - KENNEDY,Bus,WEEKDAY,332.8181818
21,21 - CORAOPOLIS,Bus,WEEKDAY,978.5454545
22,22 - MCCOY,Bus,WEEKDAY,649.4545455
24,24 - WEST PARK,Bus,WEEKDAY,1272.772727
26,26 - CHARTIERS,Bus,WEEKDAY,672.5454545
27,27 - FAIRYWOOD,Bus,WEEKDAY,779.0909091
28X,28X - AIRPORT FLYER,Bus,WEEKDAY,1323.181818
29,29 - ROBINSON,Bus,WEEKDAY,824.4545455
31,31 - BRIDGEVILLE,Bus,WEEKDAY,1016
36,36 - BANKSVILLE,Bus,WEEKDAY,305.6818182
38,38 - GREEN TREE,Bus,WEEKDAY,613.5
39,39 - BROOKLINE,Bus,WEEKDAY,765.5454545
4,4 - TROY HILL,Bus,WEEKDAY,331.3181818
40,40 - MOUNT WASHINGTON,Bus,WEEKDAY,365.3181818
41,41 - BOWER HILL,Bus,WEEKDAY,649.6363636
43,43 - BAILEY,Bus,WEEKDAY,332.8181818
44,44 - VIA KNOXVILLE,Bus,WEEKDAY,566.5454545
48,48 - ARLINGTON,Bus,WEEKDAY,2071.363636
51,51 - CARRICK,Bus,WEEKDAY,6012.863636
51L,51L - CARRICK LIMITED,Bus,WEEKDAY,249.6363636
52L,52L - HOMEVILLE LIMITED,Bus,WEEKDAY,283.1363636
53,53 - HOMESTEAD PARK,Bus,WEEKDAY,93
53L,53L - HOMESTEAD PARK LIMITED,Bus,WEEKDAY,784.5454545
54,54 - NORTH SIDE-OAKLAND-SOUTH SIDE,Bus,WEEKDAY,3929.818182
55,55 - GLASSPORT,Bus,WEEKDAY,930.2727273
56,56 - LINCOLN PLACE,Bus,WEEKDAY,1147.727273
57,57 - HAZELWOOD,Bus,WEEKDAY,846.7272727
58,58 - GREENFIELD,Bus,WEEKDAY,413.5
59,59 - MON VALLEY,Bus,WEEKDAY,2118
6,6 - SPRING HILL,Bus,WEEKDAY,1114.227273
60,60 - MCKEESPORT - WALNUT,Bus,WEEKDAY,480.9090909
61A,61A - NORTH BRADDOCK,Bus,WEEKDAY,5550.636364
61B,61B - BRADDOCK-SWISSVALE,Bus,WEEKDAY,4058.454545
61C,61C - MCKEESPORT-HOMESTEAD,Bus,WEEKDAY,5911.636364
61D,61D - MURRAY,Bus,WEEKDAY,2956.545455
64,64 - LAWRENCEVILLE - WATERFRONT,Bus,WEEKDAY,1634.545455
65,65 - SQUIRREL HILL,Bus,WEEKDAY,122.2272727
67,67 - MONROEVILLE,Bus,WEEKDAY,1633.681818
69,69 - TRAFFORD,Bus,WEEKDAY,1187.545455
7,7 - SPRING GARDEN,Bus,WEEKDAY,62.77272727
71,71 - EDGEWOOD TOWN CENTER,Bus,WEEKDAY,67.81818182
71A,71A - NEGLEY,Bus,WEEKDAY,3054.5
71B,71B - HIGHLAND PARK,Bus,WEEKDAY,4531.363636
71C,71C - POINT BREEZE,Bus,WEEKDAY,3152.954545
71D,71D - HAMILTON,Bus,WEEKDAY,2192.772727
74,74 - HOMEWOOD-SQUIRREL HILL,Bus,WEEKDAY,796.5
75,75 - ELLSWORTH,Bus,WEEKDAY,3165.863636
77,77 - PENN HILLS,Bus,WEEKDAY,1367.818182
79,79 - EAST HILLS,Bus,WEEKDAY,573.8636364
8,8 - PERRYSVILLE,Bus,WEEKDAY,1924.181818
81,81 - OAK HILL,Bus,WEEKDAY,1217
82,82 - LINCOLN,Bus,WEEKDAY,3628.227273
83,83 - BEDFORD HILL,Bus,WEEKDAY,1392.090909
86,86 - LIBERTY,Bus,WEEKDAY,1917.272727
87,87 - FRIENDSHIP,Bus,WEEKDAY,1441.863636
88,88 - PENN,Bus,WEEKDAY,1140.954545
89,89 - GARFIELD COMMONS,Bus,WEEKDAY,177.2272727
91,91 - BUTLER STREET,Bus,WEEKDAY,2516.545455
93,93 - LAWRENCEVILLE - HAZELWOOD,Bus,WEEKDAY,1630.590909
99E,NULL,Bus,WEEKDAY,922.7272727
99N,NULL,Bus,WEEKDAY,602.5454545
99S,NULL,Bus,WEEKDAY,125.8181818
99W,NULL,Bus,WEEKDAY,614.5909091
BLUE,BLUE - SouthHills Village via Overbrook,Rail,WEEKDAY,3989.181818
G2,G2 - WEST BUSWAY,Bus,WEEKDAY,1387.136364
G3,G3 - MOON FLYER,Bus,WEEKDAY,199.2272727
G31,G31 - BRIDGEVILLE FLYER,Bus,WEEKDAY,188.5454545
MI,MONONGAHELA INCLINE,Incline,WEEKDAY,663.4545455
O1,O1 - ROSS FLYER,Bus,WEEKDAY,285.0909091
O12,O12 - MCKNIGHT FLYER,Bus,WEEKDAY,331.1818182
O5,O5 - THOMPSON RUN FLYER VIA 279,Bus,WEEKDAY,23.68181818
P1,P1 - EAST BUSWAY-ALL STOPS,Bus,WEEKDAY,5985.863636
P10,P10 - ALLEGHENY VALLEY FLYER,Bus,WEEKDAY,190.7727273
P12,P12 - HOLIDAY PARK FLYER,Bus,WEEKDAY,264.5454545
P13,P13 - MOUNT ROYAL FLYER,Bus,WEEKDAY,52.04545455
P16,P16 - PENN HILLS FLYER,Bus,WEEKDAY,349.5909091
P17,P17 - LINCOLN PARK FLYER,Bus,WEEKDAY,404.1363636
P3,P3 - EAST BUSWAY-OAKLAND,Bus,WEEKDAY,1907.818182
P67,P67 - MONROEVILLE FLYER,Bus,WEEKDAY,108.6363636
P68,P68 - BRADDOCK HILLS FLYER,Bus,WEEKDAY,1240.363636
P69,P69 - TRAFFORD FLYER,Bus,WEEKDAY,181.9545455
P7,P7 - MCKEESPORT FLYER,Bus,WEEKDAY,321.4545455
P71,P71 - SWISSVALE FLYER,Bus,WEEKDAY,150.8636364
P76,P76 - LINCOLN HIGHWAY FLYER,Bus,WEEKDAY,270.0909091
P78,P78 - OAKMONT FLYER,Bus,WEEKDAY,834.5909091
RED,RED - Castle Shannon via Beechview,Rail,WEEKDAY,7891.636364
SLVR,SLVR - Libary via Overbrook,Rail,WEEKDAY,2607.181818
Y1,Y1 - LARGE FLYER,Bus,WEEKDAY,82.5
Y45,Y45 - BALDWIN MANOR FLYER,Bus,WEEKDAY,48.45454545
Y46,Y46 - ELIZABETH FLYER,Bus,WEEKDAY,882.8181818
Y47,Y47 - CURRY FLYER,Bus,WEEKDAY,549.4545455
Y49,Y49 - PROSPECT FLYER,Bus,WEEKDAY,688.6818182
