stop_id,stop_code,stop_name,stop_lat,stop_lon,mode,mode_type,route_code,MUNI,HOOD,B_W_202505,B_S_202505,B_U_202505,R_W_202505
S70342,20558,BOWMAN AVE AT JARVIS ST,40.3554,-79.8397,BUS,BUS,All Routes,"McKeesport city (Allegheny, PA)",,2.81,1,2.2,0
S70343,20559,BOWMAN AVE AT POPLAR ST,40.3575,-79.8358,BUS,BUS,All Routes,"McKeesport city (Allegheny, PA)",,1.19,0.4,0.2,0
S70344,16227,BOWMAN AVE AT LIME ST,40.3609,-79.8329,BUS,BUS,All Routes,"McKeesport city (Allegheny, PA)",,1.38,0.4,0,0
S70347,16231,EAST PITTSBURGH-MCKEESPORT BLV OPP ORRIS RD,40.369,-79.8307,BUS,BUS,All Routes,"North Versailles township (Allegheny, PA)",,0.38,0.2,0.4,0
S70348,16233,EAST PITTSBURGH-MCKEESPORT BLV AT THE LANE,40.3713,-79.8283,BUS,BUS,All Routes,"North Versailles township (Allegheny, PA)",,3.52,2,2.4,0
S70351,20568,PORT PERRY RD AT E PITTSBURGH-MCKEESPORT BLVD F,40.3837,-79.8284,BUS,BUS,All Routes,"North Versailles township (Allegheny, PA)",,0.1,0,0,0
S70355,20582,EAST PITTSBURGH-MCKEESPORT BLV OPP THE LANE,40.3714,-79.8284,BUS,BUS,All Routes,"North Versailles township (Allegheny, PA)",,3.81,3,1.4,0.05
S70356,20583,EAST PITTSBURGH-MCKEESPORT BLV AT ORRIS RD,40.3691,-79.8308,BUS,BUS,All Routes,"North Versailles township (Allegheny, PA)",,0.71,0.4,0.4,0
S70358,20585,EAST PITTSBURGH-MCKEESPORT BLV AT FAIRMONT ST,40.3622,-79.8306,BUS,BUS,All Routes,"North Versailles township (Allegheny, PA)",,0.05,0,0,0
S70360,20587,BOWMAN AVE AT POPLAR ST,40.3576,-79.8358,BUS,BUS,All Routes,"McKeesport city (Allegheny, PA)",,1.14,1.6,0.8,0
S70361,20588,BOWMAN AVE OPP JARVIS ST,40.3555,-79.8397,BUS,BUS,All Routes,"McKeesport city (Allegheny, PA)",,0.62,1,0.8,0
S70362,20632,MONONGAHELA AVE OPP LINCOLN ST,40.3402,-79.8879,BUS,BUS,All Routes,"Glassport borough (Allegheny, PA)",,4.71,4.2,2.4,0
S70364,20593,MONONGAHELA AVE AT HARRISON ST,40.3367,-79.8902,BUS,BUS,All Routes,"Glassport borough (Allegheny, PA)",,1.33,1.2,1,0
S70365,20594,MONONGAHELA AVE OPP 1ST ST,40.3345,-79.8911,BUS,BUS,All Routes,"Glassport borough (Allegheny, PA)",,2,2.8,1,0
S70366,20595,MONONGAHELA AVE AT 2ND ST,40.3327,-79.8919,BUS,BUS,All Routes,"Glassport borough (Allegheny, PA)",,0.1,0.4,0,0.05
S70367,20596,MONONGAHELA AVE AT 3RD ST,40.3309,-79.8926,BUS,BUS,All Routes,"Glassport borough (Allegheny, PA)",,0.57,0.8,1.2,0
S70368,20597,MONONGAHELA AVE OPP 4TH ST,40.3292,-79.8926,BUS,BUS,All Routes,"Glassport borough (Allegheny, PA)",,2.67,0.8,1.6,0
S70369,20599,MONONGAHELA AVE AT 6TH ST,40.3261,-79.8925,BUS,BUS,All Routes,"Glassport borough (Allegheny, PA)",,8.76,8.2,6.2,0.71
S70370,20600,MONONGAHELA AVE AT 7TH ST,40.3245,-79.8925,BUS,BUS,All Routes,"Glassport borough (Allegheny, PA)",,6.33,4.4,4.4,0.05
S70371,20601,MONONGAHELA AVE AT 8TH ST,40.3228,-79.8925,BUS,BUS,All Routes,"Glassport borough (Allegheny, PA)",,5.76,4.2,2.6,0
S70372,20664,9TH ST AT OHIO AVE,40.321,-79.8916,BUS,BUS,All Routes,"Glassport borough (Allegheny, PA)",,1.71,1,2.2,0
S70373,20603,OHIO AVE OPP BROADWAY ST,40.3191,-79.8907,BUS,BUS,All Routes,"Glassport borough (Allegheny, PA)",,4.67,3.4,3.4,0.19
S70374,20604,OHIO AVE OPP WALL ST,40.3172,-79.8897,BUS,BUS,All Routes,"Glassport borough (Allegheny, PA)",,1.14,1.2,1,0.1
S70377,20607,STATE ST AT MAPLE AVE,40.2986,-79.8756,BUS,BUS,All Routes,"Clairton city (Allegheny, PA)",,0.81,0.8,0.2,0.05
S70380,20639,ST CLAIR AVE AT 8TH ST,40.294,-79.891,BUS,BUS,All Routes,"Clairton city (Allegheny, PA)",,1.29,1.2,0.2,0
S70382,20633,RAVENSBURG BLVD AT HWY RT 885,40.3046,-79.8951,BUS,BUS,All Routes,"Clairton city (Allegheny, PA)",,2.33,1,2.2,0
S70383,20667,HWY RT 885 AT WALL RD,40.307,-79.905,BUS,BUS,All Routes,"Jefferson Hills borough (Allegheny, PA)",,0.05,0,0,0.05
S70390,20443,WEYMAN RD AT SOUTH PASSAGE DR,40.3626,-80.0004,BUS,BUS,All Routes,"Whitehall borough (Allegheny, PA)",,0,,,0
S70392,20423,BROWNSVILLE RD AT BRENTRIDGE AVE,40.3675,-79.9787,BUS,BUS,All Routes,"Brentwood borough (Allegheny, PA)",,0.67,0.8,1.2,0
S70393,16270,DUQUESNE BLVD AT GRANT AVE,40.3738,-79.845,BUS,BUS,All Routes,"Duquesne city (Allegheny, PA)",,0.57,,,0.05
S70395,20663,LEWIS RUN RD AT NORTH AVE,40.3317,-79.9362,BUS,BUS,All Routes,"West Mifflin borough (Allegheny, PA)",,0.43,0.2,0.6,0
S70396,20622,LEWIS RUN RD AT SOUTHWESTERN HEALTH CENTER,40.3292,-79.9379,BUS,BUS,All Routes,"Pleasant Hills borough (Allegheny, PA)",,0.38,2.2,1.2,0
S70399,20726,LEWIS RUN RD OPP SOUTHWESTERN HEALTH CENTER,40.3286,-79.9382,BUS,BUS,All Routes,"Jefferson Hills borough (Allegheny, PA)",,3.52,1,1.8,0
S70400,20731,LEWIS RUN RD AT KELLY LN,40.3314,-79.9366,BUS,BUS,All Routes,"West Mifflin borough (Allegheny, PA)",,1.38,1.2,0,0.05
S70402,20628,LEWIS RUN RD AT HWY 51 NS,40.3216,-79.9417,BUS,BUS,All Routes,"Pleasant Hills borough (Allegheny, PA)",,0.48,0.6,0.4,0
S70404,20524,LEWIS RUN RD AT ANNHURST APTS,40.3268,-79.9389,BUS,BUS,All Routes,"Jefferson Hills borough (Allegheny, PA)",,0.24,0,0,0
S70405,20637,LEWIS RUN RD OPP ANNHURST APTS,40.3268,-79.939,BUS,BUS,All Routes,"Pleasant Hills borough (Allegheny, PA)",,0.24,0,0,0
S70406,20904,5TH AVE OPP #1681,40.3531,-79.8463,BUS,BUS,All Routes,"McKeesport city (Allegheny, PA)",,4.95,1.8,3.4,0.14
S70407,20719,E CARSON ST AT S 9TH ST,40.4287,-79.9897,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",South Side Flats,101.86,44.4,19.2,0.86
S70412,11945,MIFFLIN ST AT WHITAKER ST,40.3987,-79.8855,BUS,BUS,All Routes,"Whitaker borough (Allegheny, PA)",,4.76,,,0
S70413,20713,MIFFLIN ST AT GEORGE ST,40.3978,-79.8877,BUS,BUS,All Routes,"Whitaker borough (Allegheny, PA)",,0,,,0
S70416,20716,CYPRESS ST OPP OAK ST,40.3943,-79.8878,BUS,BUS,All Routes,"West Mifflin borough (Allegheny, PA)",,0.05,,,0
S70417,20730,MONONGAHELA AVE AT ARCH ST,40.3378,-79.8894,BUS,BUS,All Routes,"Glassport borough (Allegheny, PA)",,0.52,0,0.4,0
S70420,20760,STATE ST AT ELM ST,40.3093,-79.8906,BUS,BUS,All Routes,"Clairton city (Allegheny, PA)",,14.05,9.6,5.6,0.1
S70421,20834,WATERFRONT DR AT COMMONWEALTH BANK DR FS,40.4134,-79.9065,BUS,BUS,All Routes,"Homestead borough (Allegheny, PA)",,2.71,1.4,0.6,0
S70422,21504,WALNUT ST AT 1ST EVANGELICAL FREE CHURCH,40.3448,-79.8265,BUS,BUS,All Routes,"McKeesport city (Allegheny, PA)",,0,0,0,0.05
S70423,12167,WALNUT ST AT PENN STATE MAIN BUILDING,40.3448,-79.8266,BUS,BUS,All Routes,"McKeesport city (Allegheny, PA)",,6.24,0.6,1,0.05
S70428,20841,GRANDVIEW AVE AT BROWNLEE ST,40.3489,-79.8372,BUS,BUS,All Routes,"McKeesport city (Allegheny, PA)",,1.48,1,0.6,0
S70432,20909,LEBANON RD OPP SOUTH HILLS INDUSTRIAL PARK,40.3596,-79.9337,BUS,BUS,All Routes,"West Mifflin borough (Allegheny, PA)",,0.67,0.6,0.2,0.43
S70438,21566,CUSTER AVE OPP BICKAR ST,40.3942,-79.971,BUS,BUS,All Routes,"Baldwin borough (Allegheny, PA)",,0.38,,,0
S70439,11548,CHURCHVIEW AVE OPP SANKEY AVE,40.3854,-79.9763,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Carrick,3.81,,,0.05
S70440,21575,CHURCHVIEW AVE AT WILLETT RD,40.3856,-79.9715,BUS,BUS,All Routes,"Brentwood borough (Allegheny, PA)",,0.43,,,0
S70441,21528,CHURCHVIEW GARDEN APARTMENTS,40.3861,-79.9381,BUS,BUS,All Routes,"Baldwin borough (Allegheny, PA)",,7.05,,,0.71
S70443,11425,CHURCHVIEW AVE OPP WILLETT RD,40.3857,-79.9713,BUS,BUS,All Routes,"Baldwin borough (Allegheny, PA)",,2.62,,,0
S70448,20913,DUQUESNE BLVD OPP WYLIE AVE,40.3672,-79.8421,BUS,BUS,All Routes,"Duquesne city (Allegheny, PA)",,0.76,0,0.8,0
S70449,20948,BLOSSOM DR OPP CLELIA DR,40.3443,-80.0005,BUS,BUS,All Routes,"Baldwin borough (Allegheny, PA)",,0,,,0
S70451,11651,AMITY ST AT 10TH AVE,40.4057,-79.9093,BUS,BUS,All Routes,"Homestead borough (Allegheny, PA)",,2.52,0.2,0.2,0
S70452,22522,WORTHINGTON AVE AT 8TH ST,40.2924,-79.8902,BUS,BUS,All Routes,"Clairton city (Allegheny, PA)",,1.57,3,0.6,0.19
S70454,21252,BROWNSVILLE RD OPP WILHELM AVE,40.3251,-79.9877,BUS,BUS,All Routes,"South Park township (Allegheny, PA)",,0.33,,,0
S70457,21226,OLD ELIZABETH RD AT LEBANON SCHOOL RD,40.3481,-79.9293,BUS,BUS,All Routes,"West Mifflin borough (Allegheny, PA)",,0.19,0,0,0
S70458,21227,CAMP HOLLOW RD AT LIVINGSTON RD FS,40.3466,-79.9262,BUS,BUS,All Routes,"West Mifflin borough (Allegheny, PA)",,2.62,0.6,0.4,0.05
S70459,21228,CAMP HOLLOW RD AT LEBANON CHURCH RD,40.3497,-79.927,BUS,BUS,All Routes,"West Mifflin borough (Allegheny, PA)",,0.52,0,0,0
S70461,21230,LEBANON SCHOOL RD AT LIVINGSTON RD FS,40.3463,-79.9263,BUS,BUS,All Routes,"West Mifflin borough (Allegheny, PA)",,1.14,0.4,1.4,0
S70464,11021,OLD ELIZABETH RD OPP BLUEMONT DR,40.3474,-79.9369,BUS,BUS,All Routes,"West Mifflin borough (Allegheny, PA)",,0,0.2,0.2,0
S70465,21194,E CARSON ST OPP S 8TH ST,40.428572,-79.991145,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",South Side Flats,,,,
S70466,21223,MAPLE DR AT HOLLYROOD DR,40.3642,-79.9645,BUS,BUS,All Routes,"Whitehall borough (Allegheny, PA)",,1.29,0.6,0.4,0
S70467,11581,MOUNTAIN AVE AT FISHER ST,40.4114,-79.9772,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",St. Clair,7.24,,,0.1
S70468,21447,WARRINGTON AVE AT BELTZHOOVER AVE,40.4216,-79.9976,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Beltzhoover,24.29,13.8,12,0.14
S70469,21318,WATERFRONT DR AT BRIDGE ST,40.4091,-79.9167,BUS,BUS,All Routes,"Homestead borough (Allegheny, PA)",,15.48,18.2,16.6,0.1
S70475,12201,HARTMAN ST AT ANDERSON AVE,40.35,-79.8344,BUS,BUS,All Routes,"McKeesport city (Allegheny, PA)",,0.33,0,0,0.05
S70476,21501,HARTMAN ST AT O'NEIL BLVD,40.3478,-79.8327,BUS,BUS,All Routes,"McKeesport city (Allegheny, PA)",,0.14,0,0,0
S70477,10552,EDEN PARK BLVD AT MAYFAIR AVE,40.3434,-79.8293,BUS,BUS,All Routes,"McKeesport city (Allegheny, PA)",,0.1,0,0,0.05
S70483,21496,HARTMAN ST AT CAMP ST,40.3547,-79.8347,BUS,BUS,All Routes,"McKeesport city (Allegheny, PA)",,5.81,2.8,2.6,0
S70486,10550,EDEN PARK BLVD AT MCKEESPORT HIGH SCHOOL DRVWY F,40.3449,-79.8305,BUS,BUS,All Routes,"McKeesport city (Allegheny, PA)",,0,0,0,0.05
S70487,21497,FIFTH AVE AT LATTERMAN FAMILY HEALTH CENTER,40.3543,-79.8366,BUS,BUS,All Routes,"McKeesport city (Allegheny, PA)",,6.24,5,2.2,0.1
S70488,21499,FIFTH AVE OPP LATTERMAN FAMILY HEALTH CENTER,40.354,-79.8366,BUS,BUS,All Routes,"McKeesport city (Allegheny, PA)",,0.62,0.6,0.6,0
S70496,21536,CHURCHVIEW AVE AT GLASS RUN RD FS,40.3859,-79.9678,BUS,BUS,All Routes,"Baldwin borough (Allegheny, PA)",,0.24,,,0
S70498,21539,CHURCHVIEW AVE OPP WAIDLER AVE,40.3849,-79.974,BUS,BUS,All Routes,"Baldwin borough (Allegheny, PA)",,1.71,,,0
S70500,21542,SPENCER AVE AT STEINER ST,40.3893,-79.9762,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Carrick,3.43,,,0
S70503,21545,CUSTER AVE AT ST WENDELIN CHURCH,40.3933,-79.9743,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Carrick,0.29,,,0
S70511,21553,AGNEW RD AT LAFFERTY DR,40.3982,-79.9693,BUS,BUS,All Routes,"Baldwin borough (Allegheny, PA)",,1.1,,,0
S70516,21557,AGNEW AVE AT BECKS RUN RD FS,40.397,-79.9782,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Carrick,0.05,,,0.05
S70518,21558,AGNEW RD AT ALAN ST,40.3964,-79.9739,BUS,BUS,All Routes,"Baldwin borough (Allegheny, PA)",,0.71,,,0
S70520,21560,AGNEW RD OPP LAFFERTY DR,40.3979,-79.9693,BUS,BUS,All Routes,"Baldwin borough (Allegheny, PA)",,0.05,,,0
S70521,21561,AGNEW RD OPP ACADEMY CHARTER SCHOOL DRVWY,40.3994,-79.9678,BUS,BUS,All Routes,"Baldwin borough (Allegheny, PA)",,0.52,,,0.1
S70522,21562,AGNEW RD AT CLOVERFIELD DR,40.3988,-79.9647,BUS,BUS,All Routes,"Baldwin borough (Allegheny, PA)",,0.14,,,0
S70524,21563,CLOVERFIELD DR AT SANDRA DR,40.3975,-79.966,BUS,BUS,All Routes,"Baldwin borough (Allegheny, PA)",,0.24,,,0.05
S70525,21564,CLOVERFIELD DR AT EDWARD DR,40.3949,-79.9664,BUS,BUS,All Routes,"Baldwin borough (Allegheny, PA)",,0.29,,,0
S70527,21586,CUSTER AVE OPP MARY ST,40.3937,-79.9726,BUS,BUS,All Routes,"Baldwin borough (Allegheny, PA)",,0.05,,,0
S70528,21568,CUSTER AVE OPP ST WENDELIN CHURCH,40.3934,-79.9746,BUS,BUS,All Routes,"Baldwin borough (Allegheny, PA)",,0,,,0
S70529,21569,CUSTER AVE OPP SPENCER AVE,40.3931,-79.9762,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Carrick,0.29,,,0
S70530,21570,SPENCER AVE AT MAKARY WAY,40.3919,-79.9764,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Carrick,0.29,,,0
S70531,21571,SPENCER AVE AT ALMORA ST,40.39,-79.9763,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Carrick,0,,,0
S70532,21572,SPENCER AVE OPP BEAU ST,40.3878,-79.9764,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Carrick,0.43,,,0
S70534,21573,CHURCHVIEW AVE AT SANKEY AVE,40.3854,-79.9766,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Carrick,4.05,,,0.1
S70535,21574,CHURCHVIEW AVE AT WAIDLER AVE FS,40.3849,-79.9737,BUS,BUS,All Routes,"Brentwood borough (Allegheny, PA)",,0.29,,,0
S70537,21577,CHURCHVIEW AVE AT MELLOTT RD NS,40.3858,-79.9675,BUS,BUS,All Routes,"Baldwin borough (Allegheny, PA)",,0,,,0
S70538,21578,CHURCHVIEW AVE AT VILLAGE DR,40.386,-79.9623,BUS,BUS,All Routes,"Baldwin borough (Allegheny, PA)",,0.05,,,0
S70539,21579,CHURCHVIEW AVE AT CASTLEVIEW DR,40.385,-79.9592,BUS,BUS,All Routes,"Baldwin borough (Allegheny, PA)",,0.1,,,0
S70540,21580,CHURCHVIEW AVE AT JOHN ROMANUS DR FS,40.3835,-79.9554,BUS,BUS,All Routes,"Baldwin borough (Allegheny, PA)",,0.1,,,0
S70541,21581,CHURCHVIEW AVE AT MARY ANN DR FS,40.384,-79.953,BUS,BUS,All Routes,"Baldwin borough (Allegheny, PA)",,0,,,0
S70542,21582,CHURCHVIEW AVE AT CATHELL RD NS,40.3845,-79.9497,BUS,BUS,All Routes,"Baldwin borough (Allegheny, PA)",,1.33,,,0.14
S70543,21583,CHURCHVIEW AVE AT REVO RD,40.3861,-79.943,BUS,BUS,All Routes,"Baldwin borough (Allegheny, PA)",,0.43,,,0
S70545,21451,SKYLINE DR AT #1765,40.3657,-79.964,BUS,BUS,All Routes,"Whitehall borough (Allegheny, PA)",,9.67,3,4,0
S70546,21452,SKYLINE DR AT BALDWIN HEALTH CENTER,40.3666,-79.9625,BUS,BUS,All Routes,"Whitehall borough (Allegheny, PA)",,22.38,16.4,10.8,0.33
S70547,21453,SKLYLINE DR AT PARKLINE DR,40.3671,-79.964,BUS,BUS,All Routes,"Whitehall borough (Allegheny, PA)",,14.1,11,6.8,0.1
S70549,21454,PARKLINE DR AT #1695,40.368,-79.9655,BUS,BUS,All Routes,"Whitehall borough (Allegheny, PA)",,21,18.2,10.6,0
S70551,21455,PARKLINE DR AT #1631,40.3671,-79.9674,BUS,BUS,All Routes,"Whitehall borough (Allegheny, PA)",,10.9,6.4,6.2,0
S70552,21456,PARKLINE DR AT #1551 (RENTAL OFFICE),40.366,-79.9682,BUS,BUS,All Routes,"Whitehall borough (Allegheny, PA)",,9.43,6,7,0
S70553,21457,PARKLINE DR AT RADFORD RD FS,40.3652,-79.9669,BUS,BUS,All Routes,"Whitehall borough (Allegheny, PA)",,0.86,0.2,0.6,0
S70554,21458,PARKLINE DR AT #1620,40.3668,-79.9677,BUS,BUS,All Routes,"Whitehall borough (Allegheny, PA)",,3.67,4.4,4.8,0.05
S70556,21459,PARKLINE DR AT #1690,40.368,-79.9654,BUS,BUS,All Routes,"Whitehall borough (Allegheny, PA)",,5.71,5.2,3.6,0
S70558,21460,PARKLINE DR AT SKYLINE DR,40.3673,-79.9641,BUS,BUS,All Routes,"Whitehall borough (Allegheny, PA)",,3.05,2.4,3,0
S70559,21462,SKYLINE DR OPP BALDWIN HEALTH CENTER,40.3669,-79.9627,BUS,BUS,All Routes,"Whitehall borough (Allegheny, PA)",,6.05,2.6,4.2,0.24
S70561,21461,SKYLINE DR AT MAPLE DR NS,40.3649,-79.9646,BUS,BUS,All Routes,"Whitehall borough (Allegheny, PA)",,3.95,5.2,4.2,0
S70562,21463,CENTURY DR OPP GABRIEL BROTHERS,40.3434,-79.9426,BUS,BUS,All Routes,"West Mifflin borough (Allegheny, PA)",,18.19,24,17.2,0.19
S70563,21466,WEST MIFFLIN GARAGE TERMINAL -,40.3624,-79.9295,BUS,BUS,All Routes,"West Mifflin borough (Allegheny, PA)",,,,,
S70566,12166,LAYOVER - PENN STATE MCKEESPOR,40.3458,-79.8287,BUS,BUS,All Routes,"White Oak borough (Allegheny, PA)",,,,,
S70567,21505,BROADWAY AVE AT RED LOT NS (CROSSWALK),40.3458,-79.8274,BUS,BUS,All Routes,"White Oak borough (Allegheny, PA)",,0,0,0,0.24
S70568,21590,LEBANON CHURCH RD AT PLEASANT HILLS BLVD,40.3447,-79.9613,BUS,BUS,All Routes,"West Mifflin borough (Allegheny, PA)",,0,0.2,0,0.14
S70569,9433,STILLEY RD AT HWY RT 51,40.3613,-79.9822,BUS,BUS,All Routes,"Brentwood borough (Allegheny, PA)",,0.43,0.6,0,0
S70576,21611,LONG RUN RD AT MARSHALL DR FS,40.3231,-79.8209,BUS,BUS,All Routes,"McKeesport city (Allegheny, PA)",,0,,,0.05
S70577,21622,SIDNEY ST AT CIRCUIT CENTER DRVWY FS,40.4256,-79.9623,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",South Side Flats,0.14,0.2,0,0.19
S70578,21623,SIDNEY ST AT SARAH ST,40.4251,-79.9616,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",South Side Flats,0,0,0,0.29
S70579,21626,SOUTH SIDE WORKS TERMINAL - NO,40.4247,-79.9618,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",South Side Flats,,,,
S70589,22259,JUGHANDLE AT IVYGLEN ST FS,40.3824,-79.9956,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Overbrook,6.14,3.4,1.6,0.05
S70590,11016,LEBANON CHURCH RD AT BUTTERMILK HOLLOW RD,40.3543,-79.9135,BUS,BUS,All Routes,"West Mifflin borough (Allegheny, PA)",,4.14,0.6,1.4,0
S70593,22311,PARKLINE DR AT RADFORD RD,40.365,-79.967,BUS,BUS,All Routes,"Whitehall borough (Allegheny, PA)",,20.95,18.2,12.8,0
S70594,10592,MCKEESPORT TRANSPORTATION CENT AT BAY #3,40.3522,-79.8617,BUS,BUS,All Routes,"McKeesport city (Allegheny, PA)",,9.24,,,0
S70595,22440,PIRL ST OPP BROWNLEE ST,40.3521,-79.8448,BUS,BUS,All Routes,"McKeesport city (Allegheny, PA)",,5.38,3.8,0.4,0.14
S70596,22441,BROWNLEE ST AT #60,40.3507,-79.8431,BUS,BUS,All Routes,"McKeesport city (Allegheny, PA)",,5.76,2.2,1,0
S70597,22442,BROWNLEE ST AT #44,40.3492,-79.8412,BUS,BUS,All Routes,"McKeesport city (Allegheny, PA)",,10.57,6.6,4,0.1
S70598,22430,LARGE PARK-AND-RIDE OUTBOUND P,40.2931,-79.9109,BUS,BUS,All Routes,"Jefferson Hills borough (Allegheny, PA)",,0,,,0
S70599,98862,LARGE PARK-AND-RIDE TERMINAL -,40.2949,-79.9104,BUS,BUS,All Routes,"Jefferson Hills borough (Allegheny, PA)",,,,,
S70600,12183,BALDWIN RD AT GLASS RUN RD FS,40.3893,-79.9327,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Hays,0.29,0.2,0,0
S70601,15840,BELTZHOOVER AVE AT SYLVANIA AVE,40.4177,-79.9973,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Beltzhoover,3.62,3,2,0
S70602,22482,BAUSMAN ST AT GEORGIA AVE,40.4143,-79.994,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Knoxville,0,0,0,0
S70604,22550,LEBANON CHURCH RD AT CLOVERLEAF TOWERS,40.3427,-79.9647,BUS,BUS,All Routes,"Pleasant Hills borough (Allegheny, PA)",,1.29,1.6,,0.05
S70607,22569,CAMP HOLLOW RD AT BEVERLY DR,40.3435,-79.9203,BUS,BUS,All Routes,"West Mifflin borough (Allegheny, PA)",,1.62,1.8,1.6,0
S70610,22571,A DR AT B DR,40.3422,-79.9104,BUS,BUS,All Routes,"West Mifflin borough (Allegheny, PA)",,18.14,13.8,9.8,0.33
S70611,22572,B DR AT MANAGEMENT OFFICE,40.3422,-79.9115,BUS,BUS,All Routes,"West Mifflin borough (Allegheny, PA)",,7.95,6.8,6.4,0
S70612,22573,B DR AT #532 (SHED),40.3429,-79.9122,BUS,BUS,All Routes,"West Mifflin borough (Allegheny, PA)",,2.71,3.4,0.4,0.05
S70613,22574,B DR AT D DR,40.3442,-79.9121,BUS,BUS,All Routes,"West Mifflin borough (Allegheny, PA)",,15.24,10.4,8.8,0.14
S70614,22575,BLACKBERRY DR AT #847,40.3422,-79.9127,BUS,BUS,All Routes,"West Mifflin borough (Allegheny, PA)",,0.24,0.6,0,0
S70619,22563,GRANDVIEW AVE AT #39,40.3498,-79.8374,BUS,BUS,All Routes,"McKeesport city (Allegheny, PA)",,2.14,1.6,0.2,0
S70621,22584,STATE ST OPP LOCUST AVE,40.3076,-79.8875,BUS,BUS,All Routes,"Clairton city (Allegheny, PA)",,1.95,0,1.6,0.29
S70630,22617,BOWMAN AVE AT #2314,40.3563,-79.838,BUS,BUS,All Routes,"McKeesport city (Allegheny, PA)",,0.19,0.2,0,0
S70631,22628,CENTURY DR AT GABRIEL BROTHERS,40.3433,-79.9427,BUS,BUS,All Routes,"West Mifflin borough (Allegheny, PA)",,10.38,14.4,9.4,0.24
S70632,22626,COMMONWEALTH AVE AT OVERLAND AVE,40.3816,-79.8597,BUS,BUS,All Routes,"Duquesne city (Allegheny, PA)",,4.48,1.2,5.2,0
S70633,22627,COMMONWEALTH AVE AT CLONMEL ST,40.3802,-79.862,BUS,BUS,All Routes,"Duquesne city (Allegheny, PA)",,3.14,0.2,0.6,0
S70634,22629,COMMONWEALTH AVE AT MILLER AVE,40.3803,-79.8646,BUS,BUS,All Routes,"Duquesne city (Allegheny, PA)",,19.52,10,13,0.19
S70635,22622,COMMONWEALTH AVE AT HILLTOP/PARKVIEW MANOR APTS,40.3802,-79.8655,BUS,BUS,All Routes,"Duquesne city (Allegheny, PA)",,14,7.4,6.6,0.24
S70636,22623,COMMONWEALTH AVE AT CLONMEL ST,40.3801,-79.8621,BUS,BUS,All Routes,"Duquesne city (Allegheny, PA)",,0.9,0.6,0.4,0.05
S70637,22624,COMMONWEALTH AVE AT OVERLAND AVE,40.3815,-79.8598,BUS,BUS,All Routes,"Duquesne city (Allegheny, PA)",,2,1.4,1.6,0
S70638,22632,DESIDERIO BLVD OPP BAKER AVE,40.2906,-79.8898,BUS,BUS,All Routes,"Clairton city (Allegheny, PA)",,5,5.4,3.6,0.05
S70639,22633,AURILES ST AT KENNEDY AVE,40.3704,-79.8527,BUS,BUS,All Routes,"Duquesne city (Allegheny, PA)",,4.48,,,0.05
S70640,22634,KENNEDY AVE AT AURILES ST,40.3703,-79.8527,BUS,BUS,All Routes,"Duquesne city (Allegheny, PA)",,7,4.8,3.2,0
S70641,22635,NORMAN ST AT GRANT AVE,40.3717,-79.8526,BUS,BUS,All Routes,"Duquesne city (Allegheny, PA)",,0,,,0
S70643,22663,PROSPECT RD AT HOLLYROOD RD FS,40.3627,-79.9636,BUS,BUS,All Routes,"Baldwin borough (Allegheny, PA)",,0.81,0.6,0.8,0.1
W00260,5588,3RD ST AT MAIN ST,40.4045,-80.0911,BUS,BUS,All Routes,"Carnegie borough (Allegheny, PA)",,1.38,,,0.05
W00280,3898,3RD ST AT MAIN ST FS,40.4044,-80.0911,BUS,BUS,All Routes,"Carnegie borough (Allegheny, PA)",,0.24,,,0
W00290,2360,4TH AVE OPP ARCH ST,40.5156,-80.1561,BUS,BUS,All Routes,"Coraopolis borough (Allegheny, PA)",,0.48,0,0,0
W00300,2362,4TH AVE AT BROADWAY ST,40.5172,-80.1604,BUS,BUS,All Routes,"Coraopolis borough (Allegheny, PA)",,1.29,0.6,0.4,0.05
W00330,2365,4TH AVE AT MAIN ST NS,40.5193,-80.166,BUS,BUS,All Routes,"Coraopolis borough (Allegheny, PA)",,7.1,4.8,3.2,0.1
