stop_id,stop_code,stop_name,stop_lat,stop_lon,mode,mode_type,route_code,MUNI,HOOD,B_W_202505,B_S_202505,B_U_202505,R_W_202505
N50400,2904,SPRING GARDEN AVE AT LAGER ST,40.464,-79.9859,BUS,BUS,7,"Pittsburgh city (Allegheny, PA)",Spring Garden,0,,,0
N50440,2910,SPRING GARDEN AVE AT REEKES WAY,40.4763,-79.9893,BUS,BUS,7,"Pittsburgh city (Allegheny, PA)",Spring Garden,0,,,0
N50510,19322,SPRING GARDEN AVE OPP GIDDY WAY,40.4746,-79.989,BUS,BUS,7,"Pittsburgh city (Allegheny, PA)",Spring Garden,0,,,0
N50570,2873,SPRING GARDEN AVE AT TRACY'S DELI,40.4694,-79.9857,BUS,BUS,7,"Pittsburgh city (Allegheny, PA)",Spring Garden,0.1,,,0
N50580,2905,SPRING GARDEN AVE OPP SPRING GARDEN LOOP PNR,40.4666,-79.9852,BUS,BUS,7,"Pittsburgh city (Allegheny, PA)",Spring Garden,0.33,,,0
N50590,2875,SPRING GARDEN AVE AT SPRING GARDEN LOOP PNR,40.4664,-79.9853,BUS,BUS,7,"Pittsburgh city (Allegheny, PA)",Spring Garden,7.86,,,0
N50610,2879,SPRING GARDEN AVE OPP BASIN ST,40.4604,-79.9905,BUS,BUS,7,"Pittsburgh city (Allegheny, PA)",Spring Garden,,,,
N50620,2906,SPRING GARDEN AVE OPP BOROUGH ST,40.4687,-79.9854,BUS,BUS,7,"Pittsburgh city (Allegheny, PA)",Spring Garden,,,,
N50650,2903,SPRING GARDEN AVE OPP OLD HONESTY ST,40.462,-79.9873,BUS,BUS,7,"Pittsburgh city (Allegheny, PA)",Spring Garden,0,,,0
N50690,2908,SPRING GARDEN AVE OPP REPPEL WAY,40.4728,-79.9875,BUS,BUS,7,"Pittsburgh city (Allegheny, PA)",Spring Garden,0.05,,,0
N50700,2912,SPRING GARDEN RD AT #3253,40.4784,-79.9949,BUS,BUS,7,"Reserve township (Allegheny, PA)",,0,,,0
N50750,2907,SPRING GARDEN AVE AT MAUCH ST,40.4716,-79.9864,BUS,BUS,7,"Pittsburgh city (Allegheny, PA)",Spring Garden,0,,,0
N70002,16271,SPRING GARDEN AVE AT #1435 WALTMIRE PHARMACY,40.4629,-79.9868,BUS,BUS,7,"Pittsburgh city (Allegheny, PA)",Spring Garden,,,,
N70015,2090,EAST OHIO ST AT NASH ST FS,40.4539,-79.9981,BUS,BUS,7,"Pittsburgh city (Allegheny, PA)",East Allegheny,0.19,,,0
N71192,1796,EAST OHIO ST AT CEDAR AVE,40.4532,-80.0019,BUS,BUS,7,"Pittsburgh city (Allegheny, PA)",Allegheny Center,0.86,,,0
N71278,2902,SPRING GARDEN AVE AT TELL ST FS,40.4607,-79.9885,BUS,BUS,7,"Pittsburgh city (Allegheny, PA)",Spring Garden,0.05,,,0
N71305,22449,FEDERAL ST AT ISABELLA ST,40.447436,-80.003898,BUS,BUS,7,"Pittsburgh city (Allegheny, PA)",North Shore,,,,
N71306,22450,FEDERAL ST AT SOUTH COMMONS,40.449706,-80.004601,BUS,BUS,7,"Pittsburgh city (Allegheny, PA)",Allegheny Center,,,,
P00760,1411,6TH ST AT FT DUQUESNE BLVD,40.4439,-80.0026,BUS,BUS,7,"Pittsburgh city (Allegheny, PA)",Central Business District,,,,
P01040,179,9TH ST AT PENN AVE,40.4439,-79.9985,BUS,BUS,7,"Pittsburgh city (Allegheny, PA)",Central Business District,2.29,,,0
P02290,1410,LIBERTY AVE AT 6TH ST,40.442,-80.0016,BUS,BUS,7,"Pittsburgh city (Allegheny, PA)",Central Business District,,,,
P02320,15266,LIBERTY AVE AT TITO WAY,40.4428,-79.9986,BUS,BUS,7,"Pittsburgh city (Allegheny, PA)",Central Business District,8.43,,,0
P70031,22749,FT DUQUESNE BLVD AT 6TH ST,40.4439,-80.0028,BUS,BUS,7,"Pittsburgh city (Allegheny, PA)",Central Business District,,,,
N17040,623,EAST COMMONS AT EAST OHIO ST NS,40.4525,-80.0034,BUS,BUS,7,"Pittsburgh city (Allegheny, PA)",Allegheny Center,0.29,,,0
N47285,214,SANDUSKY ST AT ISABELLA ST,40.4478,-80.002,BUS,BUS,7,"Pittsburgh city (Allegheny, PA)",North Shore,0.33,,,0
N47290,215,SANDUSKY ST AT STOCKTON AVE,40.4503,-80.0028,BUS,BUS,7,"Pittsburgh city (Allegheny, PA)",Allegheny Center,0.19,,,0
P00920,213,7TH ST AT FT DUQUESNE BLVD,40.4444,-80.0007,BUS,BUS,7,"Pittsburgh city (Allegheny, PA)",Central Business District,2.29,,,0
P70024,19514,STANWIX ST AT PENN AVE FS,40.4424,-80.0041,BUS,BUS,7,"Pittsburgh city (Allegheny, PA)",Central Business District,,,,
N43020,571,PERRY HWY AT I-279 RAMP,40.5036,-80.0255,BUS,BUS,8,"Ross township (Allegheny, PA)",,0.71,0.4,1,0
N42300,19728,PERRY HWY AT HANWAY AVE,40.5044,-80.0265,BUS,BUS,8,"Ross township (Allegheny, PA)",,0,0,0,0
N14190,843,CENTER AVE AT TOWNSHIP RD,40.5189,-80.0254,BUS,BUS,8,"West View borough (Allegheny, PA)",,2.24,1.2,0.2,0
N43060,570,PERRY HWY OPP HANWAY AVE,40.5043,-80.0267,BUS,BUS,8,"Ross township (Allegheny, PA)",,0,0,0,0
N43930,813,PERRYSVILLE AVE OPP CHERRYFIELD ST,40.485,-80.0157,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Perry North,6.9,3.6,0.8,0.05
N43030,568,PERRY HWY AT ROSS PARK AND RIDE - LOWER LOT,40.5088,-80.0294,BUS,BUS,8,"Ross township (Allegheny, PA)",,2.81,1.2,0.2,0.05
N43770,830,PERRYSVILLE AVE AT CUTLER ST,40.4663,-80.0116,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Perry South,2.76,1,1.4,0
N42210,574,PERRY HWY AT CONNIE DR,40.4965,-80.02,BUS,BUS,8,"Ross township (Allegheny, PA)",,0.67,0,0,0
N13960,848,CENTER AVE AT OAKWOOD AVE,40.5145,-80.024,BUS,BUS,8,"West View borough (Allegheny, PA)",,1.33,0.8,0,0
N44050,816,PERRYSVILLE AVE OPP #3418,40.4828,-80.0134,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Perry North,0.52,0.6,0.4,0
N14320,845,CENTER AVE OPP #360,40.517,-80.0222,BUS,BUS,8,"West View borough (Allegheny, PA)",,0.95,0.2,0.4,0.05
N43760,834,PERRYSVILLE AVE AT #1923,40.4614,-80.0136,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Perry South,2.67,1.6,0.8,0
N43740,836,PERRYSVILLE AVE AT #1749,40.46,-80.0117,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Central Northside,,,,
N43650,835,PERRYSVILLE AVE AT O'HERN ST,40.4603,-80.0132,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Perry South,0.71,0.4,0.2,0
N13970,926,CENTER AVE AT OAKWOOD AVE,40.5143,-80.0242,BUS,BUS,8,"West View borough (Allegheny, PA)",,0.81,0.4,0.2,0
N42850,643,PERRY HWY AT CLARWIN AVE,40.5052,-80.0283,BUS,BUS,8,"Ross township (Allegheny, PA)",,0,0,0,0
N44060,817,PERRYSVILLE AVE OPP #3358,40.4809,-80.0134,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Perry North,2.86,0.8,0,0
N43800,898,PERRYSVILLE AVE AT #3358,40.4811,-80.0134,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Perry North,0.14,0,0,0
N43830,810,PERRYSVILLE AVE AT #3835,40.4882,-80.0168,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Perry North,1.57,0.8,0.2,0
N13550,174,CEDAR AVE AT EAST OHIO ST,40.4535,-80.0018,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Allegheny Center,12.33,7.6,4.4,0.19
N13585,944,CEDAR AVE AT PRESSLEY ST,40.4515,-80.001,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",East Allegheny,94.76,53.4,45.6,1.14
N13600,2596,CEDAR AVE AT SUISMON ST,40.4548,-80.0021,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",East Allegheny,12.48,11.4,4.8,0.05
N13610,175,CEDAR AVE OPP PRESSLEY ST,40.4516,-80.0012,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Allegheny Center,33.67,21.6,12.6,1
N13615,853,CEDAR AVE OPP SUISMON ST,40.455,-80.0023,BUS,BUS,8,"Pittsburgh city (Allegheny, PA)",Allegheny Center,4.62,0.8,0.8,0.1
N13690,19324,CENTER AVE OPP BRIGHTWOOD AVE,40.5159,-80.0225,BUS,BUS,8,"West View borough (Allegheny, PA)",,5.05,3,2,0.05
N13810,925,CENTER AVE AT FRANKFORT AVE,40.5133,-80.0257,BUS,BUS,8,"West View borough (Allegheny, PA)",,1.57,0.8,0.6,0.1
N13860,929,CENTER AVE AT HAWTHORNE AVE,40.5166,-80.022,BUS,BUS,8,"West View borough (Allegheny, PA)",,1.1,1.2,0.4,0
