stop_id,stop_name,usage_stop_name,id_name_mismatch,muni,hood,lat,lon,weekday_boardings,saturday_boardings,sunday_boardings,cur_weekday_trips,prop_weekday_trips,cur_weekday_hourly,prop_weekday_hourly,cur_early_4_6a,cur_am_6_9a,cur_mid_9a_3p,cur_pm_3_6p,cur_eve_6_8p,cur_late_8_11p,cur_owl_11p_4a,prop_early_4_6a,prop_am_6_9a,prop_mid_9a_3p,prop_pm_3_6p,prop_eve_6_8p,prop_late_8_11p,prop_owl_11p_4a,current_routes,proposed_routes,n_current_routes,n_proposed_routes,cur_saturday_trips,prop_saturday_trips,cur_saturday_hourly,prop_saturday_hourly,cur_sunday_trips,prop_sunday_trips,cur_sunday_hourly,prop_sunday_hourly,cur_week_any_minimum,prop_week_any_minimum,cur_weekdays_any_minimum,prop_weekdays_any_minimum,cur_weekends_any_minimum,prop_weekends_any_minimum,cur_week_any_hourly,prop_week_any_hourly,cur_weekend_any_hourly,prop_weekend_any_hourly,cur_week_any_minimum_150m,prop_week_any_minimum_150m,cur_weekdays_any_minimum_150m,prop_weekdays_any_minimum_150m,cur_weekends_any_minimum_150m,prop_weekends_any_minimum_150m,cur_week_any_hourly_150m,prop_week_any_hourly_150m,cur_weekend_any_hourly_150m,prop_weekend_any_hourly_150m
842,WEST VIEW PARK DR + PERRY,WEST VIEW PARK DR AT PERRY HWY,0,"West View borough (Allegheny, PA)",,40.517688,-80.0311,22.33,19.0,10.0,184,206,1,1,5,38,61,37,17,20,6,7,35,72,34,23,20,15,13;8,13;17;8,2,3,136,170,1,1,88,130,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8539,HIGHLAND AVE + VINTAGE SR CENTER,HIGHLAND AVE AT VINTAGE SENIOR CITIZEN CTR,0,"Pittsburgh city (Allegheny, PA)",East Liberty,40.465361,-79.923099,22.29,10.0,1.0,272,440,1,1,7,42,91,49,30,38,15,14,73,145,74,52,43,39,71B;74;75;89,1;71X;75;87;92,4,5,230,394,1,1,160,282,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3302,OLD FREEPORT TERMINUS + FREEPORT,OLD FREEPORT RD AT FREEPORT RD (TERM),0,"O'Hara township (Allegheny, PA)",,40.490139,-79.869972,22.24,20.2,7.0,178,89,1,1,10,34,54,31,19,19,11,3,21,25,17,10,8,5,1;91,1L;91,2,2,107,68,1,1,97,46,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2608,BAUSMAN ST + BROWNSVILLE RD,BAUSMAN ST AT BROWNSVILLE RD,0,"Pittsburgh city (Allegheny, PA)",Knoxville,40.414406,-79.988298,22.19,7.6,8.6,399,367,1,1,15,78,126,79,37,40,24,9,64,133,64,37,37,23,44;48;51;54,44;45;48;51;51S,4,5,287,258,1,1,183,184,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2626,MILLVALE AVE + CYPRESS,MILLVALE AVE AT CYPRESS ST,0,"Pittsburgh city (Allegheny, PA)",Bloomfield,40.458853,-79.94706,22.14,9.2,3.4,251,234,1,1,12,38,81,45,24,28,23,5,39,83,42,27,23,15,54;64;86,54;64;86,3,3,219,188,1,1,161,138,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1334,MERCHANT ST + 6TH,MERCHANT ST AT 6TH ST,0,"Ambridge borough (Beaver, PA)",,40.586599,-80.227418,22.1,19.0,15.4,48,38,1,1,2,8,16,8,4,7,3,1,5,12,6,4,6,4,14,14,1,1,34,36,0,1,30,32,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
12703,MAIN ST + CANAL ST,MAIN ST AT CANAL ST,0,"Sharpsburg borough (Allegheny, PA)",,40.494602,-79.932179,22.0,15.8,16.2,178,148,1,1,10,35,54,32,17,19,11,4,27,49,28,18,14,8,1;91,5;91,2,2,107,116,1,1,97,78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1529,BRIGHTON RD + TERMON,BRIGHTON RD AT TERMON AVE,0,"Pittsburgh city (Allegheny, PA)",Brighton Heights,40.483136,-80.035509,21.95,10.0,8.2,176,166,1,1,9,34,56,35,13,17,12,7,30,49,29,17,19,15,16;17,14;16,2,2,116,108,1,1,116,108,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6838,SOUTH BUSWAY + OVERBROOK SHELTER,SOUTH BUSWAY AT OVERBROOK SHELTER,0,"Pittsburgh city (Allegheny, PA)",Overbrook,40.385218,-79.995853,21.95,9.8,10.2,132,102,1,1,5,26,43,25,14,16,3,2,23,26,21,11,13,6,Y1;Y45;Y46;Y47;Y49,34;46L;49,5,3,98,60,1,0,54,56,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
11633,MAIN ST + VIRGINIA,MAIN ST AT VIRGINIA AVE,0,"Munhall borough (Allegheny, PA)",,40.385783,-79.903038,21.9,5.6,6.2,38,34,0,1,2,8,12,5,4,6,1,0,5,13,6,4,5,1,53L,53,1,1,28,30,0,0,16,28,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0
3552,HELEN ST + CATHERINE,HELEN ST AT CATHERINE ST,0,"McKees Rocks borough (Allegheny, PA)",,40.472795,-80.056347,21.86,12.2,4.8,52,54,1,1,1,10,18,8,6,9,0,1,8,20,10,6,7,2,22,22,1,1,38,34,0,0,16,28,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0
7065,WAVERLY AVE + BRADDOCK,WAVERLY AVE AT BRADDOCK AVE,0,"Swissvale borough (Allegheny, PA)",,40.422202,-79.886139,21.86,18.6,14.0,634,732,1,1,20,139,180,142,63,53,37,26,131,200,137,72,84,82,59;61A;61B;71;P1;P3;P7;P71,52L;58;60X;62X;P1;P3,8,6,364,518,1,1,242,386,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4850,E CARSON ST + 14TH ST,E CARSON ST AT S 14TH ST,0,"Pittsburgh city (Allegheny, PA)",South Side Flats,40.42877,-79.984251,21.86,20.0,16.4,395,412,1,1,14,78,125,75,36,41,26,12,72,148,70,46,35,29,48;51;54,45;48;51;51S;57,3,5,279,312,1,1,179,218,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
