block_group_geoid,population,lat,lon
420030201004,2,40.435055,-79.995947
420030201005,263,40.442956,-79.999606
420030201005,230,40.444502,-79.992019
420030201005,190,40.444126,-79.997987
420030201005,84,40.444090,-79.999867
420030201005,46,40.443953,-80.000322
420030201005,43,40.443669,-79.997782
420030201005,28,40.444471,-79.996645
420030201005,26,40.444024,-79.996416
420030201005,22,40.443621,-79.996233
420030201005,16,40.443419,-79.998745
420030201005,14,40.444274,-79.994514
420030201005,7,40.445401,-79.997141
420030201005,5,40.443262,-79.997601
420030201005,4,40.444874,-79.998307
420030203001,489,40.460455,-79.976991
420030203001,347,40.454828,-79.983197
420030203001,335,40.456451,-79.980931
420030203001,109,40.454841,-79.981689
420030203001,70,40.453998,-79.980668
420030203001,60,40.449405,-79.986931
420030203001,50,40.454500,-79.981276
420030203001,46,40.454564,-79.979318
420030203001,40,40.459182,-79.974510
420030203001,32,40.454281,-79.978979
420030203001,29,40.460453,-79.970876
420030203001,29,40.459825,-79.972702
420030203001,20,40.460136,-79.970488
420030203001,19,40.454000,-79.978644
420030203001,17,40.453105,-79.985891
420030203001,15,40.452458,-79.983293
420030203001,14,40.459904,-79.976220
420030203001,12,40.456548,-79.976534
420030203001,11,40.459481,-79.972282
420030203001,11,40.457873,-79.975532
420030203001,11,40.457524,-79.975117
420030203001,11,40.450602,-79.980140
420030203001,10,40.458184,-79.973319
420030203001,10,40.455572,-79.977952
420030203001,8,40.449981,-79.984509
420030203001,7,40.454907,-79.979735
420030203001,7,40.453537,-79.977462
420030203001,7,40.448968,-79.989947
420030203001,5,40.459159,-79.971902
420030203001,5,40.454221,-79.974147
420030203001,2,40.456088,-79.975988
420030203001,2,40.452405,-79.981706
420030203001,2,40.452119,-79.982872
420030203001,2,40.451252,-79.983367
420030203001,1,40.453940,-79.973902
420030305001,155,40.444388,-79.986815
420030305001,115,40.445890,-79.983223
420030305001,91,40.444807,-79.988358
420030305001,89,40.442415,-79.984873
420030305001,80,40.442066,-79.986108
420030305001,79,40.445530,-79.985908
420030305001,67,40.445253,-79.984734
420030305001,59,40.446915,-79.984577
420030305001,57,40.446087,-79.983995
420030305001,38,40.442774,-79.984077
