stop_uuid,gtfs_stop_id,stop_name,lat,lon,wheelchair_boarding
02545dfc-a374-43ab-8f9f-aad34f468984,11154,LINCOLN HWY + CLYDE,40.388973,-79.830775,0
025aca43-1775-4f56-9f4e-cd2b90ae3e41,22691,CAMP HOLLOW RD AT LIVINGSTON RD FS,40.34595,-79.925745,0
025f5350-b59d-4fcf-ab33-f30202e61a72,6084,PIONEER AVE + BERWIN,40.399156,-80.021201,0
0261c71a-71c8-4775-a313-c6c29592f5c0,8831,MARK DR + #7915,40.469971,-79.868105,0
026daef1-a472-40c2-8442-073038a2f19a,5739,GREENTREE RD + ORCHARD,40.412212,-80.045994,0
026ec836-5d57-4d70-a367-ab9a989e1212,1358,BEAVER ST + LITTLE,40.542393,-80.183449,0
02714144-0634-4ab1-810e-fad91758a3b2,6415,BOWER HILL RD + PARKVIEW,40.380076,-80.062897,0
02740f4f-e7eb-418c-91ff-b4c730a4d7ec,11257,HWY RT 51 + BLUE FLAME,40.305157,-79.934197,0
0276944e-e2e7-45b6-a13d-70999a15ad95,100165,Schenley Dr + Phipps,40.439632876,-79.946865195,0
027a2d07-dee9-4671-b63d-7282b8a88e10,7279,LIBERTY AVE + 10TH ST NS,40.44381,-79.994892,0
02814826-d849-4da5-9dad-98a211f0bdc5,14973,BUTLER ST + 43RD,40.470823545,-79.960302731,0
0284571b-d0be-462b-9129-0305eee61f74,10010272,Mayfair St + Allison St,40.339580087,-79.835622699,0
028e5156-c567-4186-8765-e6bf787f55ab,20765,HIGHLAND AVE + ELLSWORTH AVE STEPS,40.458790279,-79.925197814,0
0298a35c-f93e-47cb-aadd-ce06f7661f32,7249,MONONGAHELA AVE + DUQUESNE,40.418393,-79.888292,0
029b1c26-40df-49c9-9adb-57b4007981da,9740,CURRY HOLLOW RD + ARBOR,40.336694,-79.971284,0
02a2ce05-b1f6-4aca-aede-549788eaf9df,20726,LEWIS RUN RD + SOUTHWESTERN HEALTH CENTER,40.328626,-79.938183,0
02a34539-ce5c-4efd-b877-ac59d6f8859c,2632,CENTRE AVE + MELWOOD AVE,40.452328,-79.950707,0
02bafea7-6378-42c1-84e8-090189c39fcf,180,LIBERTY AVE + 7TH ST (CLARK BLDG),40.442537,-79.999766,0
02bd8d02-59ac-4857-a697-47b26b07178e,20111,OLD WILLIAM PENN HWY + BEATTY RD,40.440283133,-79.742021035,0
02c4dd45-8cf7-460d-a6e2-2d7b51645c60,22112,STANTON AVE + JANCEY ST,40.47421,-79.931627,0
02cb9d9b-bde1-4091-b240-dddade4bac89,8252,ELLSWORTH AVE + MOREWOOD,40.450959,-79.942875,0
02d26c75-b939-41d8-a1f0-a47548d89e7e,10010359,Duncan Ave + Covenant Ave,40.568122457,-80.021612005,0
02dee4db-d9f2-449c-b6b8-9f4b0dc9a45a,61,POTOMAC STATION,40.397354,-80.036243,0
02e7c0f5-a51a-46b2-bc71-0ed771bd33a0,16463,BUTLER ST + 53RD,40.48224,-79.9524,0
02ebc3d3-df5c-47e3-9fda-300a6fd61011,4121,CHARTIERS AVE + MIDDLETOWN,40.457566,-80.073578,0
02eeb66b-541b-4f59-8e59-25fb05a4a6c9,10010373,E 1st Ave + Bridge St,40.602432592,-79.745260812,0
02f6326c-e983-4a9d-9d48-5b9a1c9bfdfd,20684,MARKET SQUARE PRTX STATION,40.441467808,-80.002280095,0
0309e8be-78ef-40fd-b3b4-27b75bd3b37c,10010217,Tarentum Br Rd + Freeport Rd,40.587115591,-79.749674187,0
