place,anchor,status,weekday_boardings,stops_now,stops_proposed,n_routes_now,n_routes_proposed,routes_now,routes_proposed,routes_kept,routes_lost,routes_gained
East Hills,Downtown,keeps,126.07,39,37,3,1,77;86;P17,86,86,77;P17,
East Hills,Oakland,keeps,126.07,39,37,2,1,71D;77,72,,71D;77,72
East Liberty,Downtown,keeps,1928.13,69,71,6,7,71B;77;82;86;87;88,71X;80X;82;86;87;88;92,82;86;87;88,71B;77,71X;80X;92
East Liberty,Oakland,keeps,1928.13,69,71,6,6,71A;71B;71C;75;77;82,45;71X;75;80X;82;85,75;82,71A;71B;71C;77,45;71X;80X;85
"East McKeesport borough (Allegheny, PA)",Downtown,keeps,14.2,4,5,1,1,P76,76L,,P76,76L
"East McKeesport borough (Allegheny, PA)",Oakland,none either way,14.2,4,5,0,0,,,,,
"East Pittsburgh borough (Allegheny, PA)",Downtown,keeps,153.29,24,16,4,2,69;P68;P69;P76,69;76L,69,P68;P69;P76,76L
"East Pittsburgh borough (Allegheny, PA)",Oakland,loses,153.29,24,16,1,0,69,,,69,
"Edgewood borough (Allegheny, PA)",Downtown,keeps,113.86,27,22,5,4,61A;61B;P68;P7;P71,52L;58;60X;62X,,61A;61B;P68;P7;P71,52L;58;60X;62X
"Edgewood borough (Allegheny, PA)",Oakland,keeps,113.86,27,22,2,3,61A;61B,58;60X;62X,,61A;61B,58;60X;62X
"Edgeworth borough (Allegheny, PA)",Downtown,gains,6.25,13,13,0,1,,14,,,14
"Edgeworth borough (Allegheny, PA)",Oakland,none either way,6.25,13,13,0,0,,,,,
"Elizabeth borough (Allegheny, PA)",Downtown,keeps,32.57,1,1,1,1,Y46,46L,,Y46,46L
"Elizabeth borough (Allegheny, PA)",Oakland,none either way,32.57,1,1,0,0,,,,,
Elliott,Downtown,keeps,186.67,20,20,12,9,20;21;22;24;26;27;28X;29;31;G2;G3;G31,21;22;23L;24;25;26;27;29;31,21;22;24;26;27;29;31,20;28X;G2;G3;G31,23L;25
Elliott,Oakland,loses,186.67,20,20,1,0,28X,,,28X,
"Emsworth borough (Allegheny, PA)",Downtown,keeps,168.03,29,30,1,2,19L,14;19L,19L,,14
"Emsworth borough (Allegheny, PA)",Oakland,none either way,168.03,29,30,0,0,,,,,
Esplen,Downtown,keeps,28.81,7,10,4,4,20;21;22;24,21;22;24;27,21;22;24,20,27
Esplen,Oakland,none either way,28.81,7,10,0,0,,,,,
"Etna borough (Allegheny, PA)",Downtown,keeps,83.15,27,26,3,2,1;2;P13,2L;5,,1;2;P13,2L;5
"Etna borough (Allegheny, PA)",Oakland,none either way,83.15,27,26,0,0,,,,,
Fairywood,Downtown,keeps,57.89,9,9,1,1,27,27,27,,
Fairywood,Oakland,none either way,57.89,9,9,0,0,,,,,
"Findlay township (Allegheny, PA)",Downtown,keeps,0.0,1,2,1,1,65,58,,65,58
"Findlay township (Allegheny, PA)",Oakland,keeps,0.0,1,2,2,2,65;93,58;93,93,65,58
Fineview,Downtown,keeps,28.39,10,14,1,1,11,11,11,,
Fineview,Oakland,none either way,28.39,10,14,0,0,,,,,
"Forest Hills borough (Allegheny, PA)",Downtown,keeps,156.62,28,26,4,2,69;P68;P69;P76,69;76L,69,P68;P69;P76,76L
"Forest Hills borough (Allegheny, PA)",Oakland,loses,156.62,28,26,1,0,69,,,69,
"Fox Chapel borough (Allegheny, PA)",Downtown,none either way,0.0,1,1,0,0,,,,,
"Fox Chapel borough (Allegheny, PA)",Oakland,keeps,0.0,1,1,1,1,75,75,75,,
Friendship,Downtown,keeps,519.99,15,13,4,4,77;82;86;87,80X;82;86;87,82;86;87,77,80X
Friendship,Oakland,keeps,519.99,15,13,4,3,71A;71C;77;82,80X;82;85,82,71A;71C;77,80X;85
Garfield,Downtown,keeps,190.67,37,42,2,2,87;88,87;88,87;88,,
Garfield,Oakland,keeps,190.67,37,42,1,1,71A,85,,71A,85
"Glassport borough (Allegheny, PA)",Downtown,none either way,114.37,28,28,0,0,,,,,
"Glassport borough (Allegheny, PA)",Oakland,none either way,114.37,28,28,0,0,,,,,
Glen Hazel,Downtown,keeps,107.77,16,17,1,1,57,57,57,,
Glen Hazel,Oakland,keeps,107.77,16,17,2,1,57;93,93,93,57,
"Glen Osborne borough (Allegheny, PA)",Downtown,gains,2.64,11,11,0,1,,14,,,14
"Glen Osborne borough (Allegheny, PA)",Oakland,none either way,2.64,11,11,0,0,,,,,
"Glenfield borough (Allegheny, PA)",Downtown,gains,2.48,2,2,0,1,,14,,,14
"Glenfield borough (Allegheny, PA)",Oakland,none either way,2.48,2,2,0,0,,,,,
"Green Tree borough (Allegheny, PA)",Downtown,keeps,140.68,35,37,2,2,31;38,31;38,31;38,,
"Green Tree borough (Allegheny, PA)",Oakland,none either way,140.68,35,37,0,0,,,,,
Greenfield,Downtown,keeps,552.36,71,62,5,3,52L;53L;58;61C;65,53;58;61X,58,52L;53L;61C;65,53;61X
Greenfield,Oakland,keeps,552.36,71,62,5,5,58;61C;61D;65;93,50;53;58;61X;93,58;93,61C;61D;65,50;53;61X
"Hampton township (Allegheny, PA)",Downtown,keeps,14.96,14,4,2,1,2;P13,2L,,2;P13,2L
"Hampton township (Allegheny, PA)",Oakland,none either way,14.96,14,4,0,0,,,,,
