day,klass,length_m,geometry
weekday,kept,20.0,"-80.00387,40.50953 -80.00381,40.50971"
weekday,kept,113.6,"-80.00375,40.51166 -80.0039,40.51267"
weekday,kept,60.0,"-80.00411,40.5141 -80.00419,40.51464"
weekday,kept,72.7,"-80.00439,40.51607 -80.00448,40.51672"
weekday,kept,80.0,"-80.00467,40.51815 -80.00477,40.51886"
weekday,kept,120.0,"-80.00493,40.51993 -80.00508,40.521"
weekday,kept,200.0,"-80.00525,40.52226 -80.00537,40.52405"
weekday,kept,40.0,"-80.00555,40.5262 -80.00567,40.52654"
weekday,kept,20.0,"-80.00581,40.52689 -80.0059,40.52705"
weekday,kept,20.0,"-80.00611,40.52738 -80.00622,40.52753"
weekday,kept,80.0,"-80.00676,40.52812 -80.00743,40.52863"
weekday,kept,40.0,"-80.00813,40.52911 -80.00848,40.52935"
weekday,kept,20.0,"-80.00966,40.53047 -80.00978,40.53062"
weekday,kept,20.0,"-80.00999,40.53094 -80.01009,40.53111"
weekday,kept,20.0,"-80.01027,40.53144 -80.01035,40.53161"
weekday,kept,219.9,"-80.01086,40.53299 -80.01096,40.53388 -80.01086,40.53496"
weekday,kept,40.0,"-80.01088,40.53657 -80.01097,40.53692"
weekday,kept,39.9,"-80.01113,40.53744 -80.01125,40.53779"
weekday,kept,40.0,"-80.01142,40.53832 -80.01153,40.53866"
weekday,kept,40.0,"-80.01171,40.53919 -80.01183,40.53953"
weekday,kept,40.0,"-80.012,40.54006 -80.01211,40.54041"
weekday,kept,79.6,"-80.01258,40.54142 -80.01269,40.54177 -80.01258,40.54211"
weekday,kept,20.0,"-80.01323,40.54238 -80.01333,40.54254"
weekday,kept,60.0,"-80.01516,40.54462 -80.01566,40.54501"
weekday,kept,39.2,"-80.02289,40.55184 -80.02313,40.55213"
weekday,kept,19.5,"-80.02151,40.55407 -80.02128,40.55409"
weekday,kept,19.2,"-80.01916,40.55052 -80.01893,40.5505"
weekday,kept,13.6,"-80.01627,40.55368 -80.01639,40.55376"
weekday,kept,139.3,"-80.02072,40.55529 -80.02137,40.55517 -80.02189,40.55576"
weekday,kept,20.0,"-80.0224,40.55657 -80.0225,40.55673"
weekday,kept,20.0,"-80.02269,40.55706 -80.02278,40.55723"
weekday,kept,20.0,"-80.02324,40.55805 -80.02334,40.55822"
