geoid,tract_geoid,county,population,lat,lon,race_total,hispanic_or_latino,white_nh,black_nh,native_american_nh,asian_nh,pacific_islander_nh,other_race_nh,two_or_more_nh,age_total,under_18,age_65_plus,income_total,income_under_25k,income_25k_50k,income_50k_75k,income_75k_100k,income_100k_plus,vehicle_total,zero_vehicle_households,one_vehicle_households,disability_total,with_a_disability,language_total,limited_english_households,cur_week_any_minimum,prop_week_any_minimum,lost_week_any_minimum,gained_week_any_minimum,cur_weekdays_any_minimum,prop_weekdays_any_minimum,lost_weekdays_any_minimum,gained_weekdays_any_minimum,cur_weekends_any_minimum,prop_weekends_any_minimum,lost_weekends_any_minimum,gained_weekends_any_minimum,cur_week_any_hourly,prop_week_any_hourly,lost_week_any_hourly,gained_week_any_hourly,cur_weekend_any_hourly,prop_weekend_any_hourly,lost_weekend_any_hourly,gained_weekend_any_hourly,cur_weekday_trips,prop_weekday_trips,cur_saturday_trips,prop_saturday_trips,cur_sunday_trips,prop_sunday_trips,point_cur_week_any_minimum,point_prop_week_any_minimum,point_cur_weekdays_any_minimum,point_prop_weekdays_any_minimum,point_cur_weekends_any_minimum,point_prop_weekends_any_minimum,point_cur_week_any_hourly,point_prop_week_any_hourly,point_cur_weekend_any_hourly,point_prop_weekend_any_hourly,cur_week_any_minimum_150m,prop_week_any_minimum_150m,lost_week_any_minimum_150m,gained_week_any_minimum_150m,cur_weekdays_any_minimum_150m,prop_weekdays_any_minimum_150m,lost_weekdays_any_minimum_150m,gained_weekdays_any_minimum_150m,cur_weekends_any_minimum_150m,prop_weekends_any_minimum_150m,lost_weekends_any_minimum_150m,gained_weekends_any_minimum_150m,cur_week_any_hourly_150m,prop_week_any_hourly_150m,lost_week_any_hourly_150m,gained_week_any_hourly_150m,cur_weekend_any_hourly_150m,prop_weekend_any_hourly_150m,lost_weekend_any_hourly_150m,gained_weekend_any_hourly_150m
420031014002,42003101400,Allegheny,672.0,40.484526,-79.928386,435.0,0.0,314.0,59.0,0.0,0.0,0.0,0.0,62.0,435.0,30.0,51.0,180.0,10.0,21.0,42.0,33.0,74.0,180.0,25.0,108.0,665.8,86.38,301.7,3.1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,107.3,98.0,60.0,72.4,50.9,60.0,1,1,1,1,1,1,1,1,1,1,0.6935,0.6935,0.0,0.0,0.6935,0.6935,0.0,0.0,0.6935,0.6935,0.0,0.0,0.6935,0.6935,0.0,0.0,0.6935,0.6935,0.0,0.0
420031014003,42003101400,Allegheny,754.0,40.47506,-79.929914,725.0,12.0,506.0,172.0,0.0,23.0,0.0,12.0,0.0,725.0,106.0,122.0,330.0,57.0,53.0,58.0,38.0,124.0,330.0,18.0,183.0,747.04,96.92,338.51,3.48,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,206.1,238.1,154.5,195.4,102.1,148.5,1,1,1,1,1,1,1,1,1,1,0.9735,0.9735,0.0,0.0,0.9735,0.9735,0.0,0.0,0.9735,0.9735,0.0,0.0,0.9735,0.9735,0.0,0.0,0.9735,0.9735,0.0,0.0
420031014004,42003101400,Allegheny,721.0,40.479918,-79.930014,877.0,47.0,622.0,54.0,4.0,51.0,0.0,0.0,99.0,877.0,179.0,206.0,363.0,12.0,84.0,29.0,31.0,207.0,363.0,13.0,127.0,714.35,92.67,323.7,3.33,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,107.7,142.0,87.6,113.5,61.5,88.9,1,1,1,1,1,1,1,1,1,1,0.9612,0.9612,0.0,0.0,0.9612,0.9612,0.0,0.0,0.9612,0.9612,0.0,0.0,0.9612,0.9612,0.0,0.0,0.9612,0.9612,0.0,0.0
420031018001,42003101800,Allegheny,953.0,40.483418,-79.934467,986.0,32.0,777.0,126.0,0.0,10.0,0.0,0.0,41.0,986.0,147.0,244.0,489.0,31.0,114.0,82.0,84.0,178.0,489.0,35.0,198.0,1015.77,118.04,522.69,8.69,0.9035,0.8657,0.0378,0.0,0.9035,0.8657,0.0378,0.0,0.8657,0.8657,0.0,0.0,0.3316,0.8657,0.0,0.5341,0.8657,0.8657,0.0,0.0,53.4,81.1,50.5,70.8,28.2,52.0,1,1,1,1,1,1,0,1,1,1,0.1343,0.1343,0.0,0.0,0.1343,0.1343,0.0,0.0,0.1343,0.1343,0.0,0.0,0.0,0.1343,0.0,0.1343,0.1343,0.1343,0.0,0.0
420031018002,42003101800,Allegheny,1461.0,40.483762,-79.939239,1587.0,0.0,1270.0,137.0,0.0,91.0,0.0,0.0,89.0,1587.0,215.0,315.0,835.0,133.0,22.0,193.0,105.0,382.0,835.0,23.0,482.0,1557.23,180.96,801.31,13.31,1.0,0.95,0.05,0.0,1.0,0.95,0.05,0.0,0.95,0.95,0.0,0.0,0.5667,0.95,0.0,0.3833,0.95,0.95,0.0,0.0,97.4,82.8,57.0,70.6,37.9,50.2,1,1,1,1,1,1,0,1,1,1,0.2984,0.2984,0.0,0.0,0.2984,0.2984,0.0,0.0,0.2984,0.2984,0.0,0.0,0.0,0.2984,0.0,0.2984,0.2984,0.2984,0.0,0.0
420031019001,42003101900,Allegheny,998.0,40.470444,-79.93838,921.0,7.0,103.0,778.0,0.0,13.0,0.0,0.0,20.0,921.0,389.0,56.0,350.0,193.0,97.0,35.0,0.0,25.0,350.0,96.0,207.0,1150.24,192.05,464.94,0.0,0.9118,0.9118,0.0,0.0,0.9118,0.9118,0.0,0.0,0.9118,0.9118,0.0,0.0,0.0381,0.9118,0.0,0.8737,0.0381,0.9118,0.0,0.8737,31.3,63.8,31.9,62.0,26.6,42.0,1,1,1,1,1,1,0,1,0,1,0.4018,0.508,0.0,0.1062,0.4018,0.508,0.0,0.1062,0.4018,0.508,0.0,0.1062,0.0,0.508,0.0,0.508,0.0,0.499,0.0,0.499
420031019002,42003101900,Allegheny,867.0,40.466704,-79.943579,1172.0,212.0,309.0,536.0,0.0,6.0,0.0,0.0,109.0,1172.0,282.0,163.0,446.0,113.0,12.0,90.0,34.0,197.0,446.0,87.0,147.0,999.26,166.84,403.91,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.925,1.0,0.0,0.075,0.925,1.0,0.0,0.075,114.8,121.5,94.6,118.1,77.9,80.9,1,1,1,1,1,1,1,1,1,1,0.4037,0.4037,0.0,0.0,0.4037,0.4037,0.0,0.0,0.4037,0.4037,0.0,0.0,0.4037,0.4037,0.0,0.0,0.4037,0.4037,0.0,0.0
420031019003,42003101900,Allegheny,567.0,40.466053,-79.938243,710.0,16.0,262.0,297.0,0.0,58.0,0.0,0.0,77.0,710.0,47.0,96.0,337.0,36.0,36.0,22.0,116.0,127.0,337.0,39.0,101.0,653.5,109.11,264.15,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,132.7,140.4,109.3,136.4,91.7,92.5,1,1,1,1,1,1,1,1,1,1,0.9577,0.9577,0.0,0.0,0.9577,0.9577,0.0,0.0,0.9577,0.9577,0.0,0.0,0.5168,0.9577,0.0,0.4409,0.5168,0.9577,0.0,0.4409
420031102001,42003110200,Allegheny,666.0,40.478032,-79.9198,688.0,0.0,573.0,23.0,0.0,85.0,0.0,0.0,7.0,688.0,43.0,151.0,425.0,0.0,102.0,24.0,58.0,241.0,425.0,0.0,327.0,745.67,78.08,377.05,12.13,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,218.9,228.3,172.8,195.8,108.6,138.7,1,1,1,1,1,1,1,1,1,1,0.3243,0.2402,0.1456,0.0616,0.3243,0.2402,0.1456,0.0616,0.3243,0.2402,0.1456,0.0616,0.3243,0.2402,0.1456,0.0616,0.3243,0.2402,0.1456,0.0616
420031102002,42003110200,Allegheny,708.0,40.475754,-79.921431,1042.0,10.0,831.0,190.0,0.0,11.0,0.0,0.0,0.0,1042.0,117.0,110.0,520.0,5.0,143.0,52.0,36.0,284.0,520.0,80.0,146.0,792.69,83.01,400.83,12.9,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,224.7,235.3,176.7,201.1,112.3,142.9,1,1,1,1,1,1,1,1,1,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
