place,anchor,geoid,lat,lon,population,headline_current_median_min,headline_current_reachable_fraction,headline_current_access_stops,headline_proposed_median_min,headline_proposed_reachable_fraction,headline_proposed_access_stops,strict_current_median_min,strict_current_reachable_fraction,strict_current_access_stops,strict_proposed_median_min,strict_proposed_reachable_fraction,strict_proposed_access_stops,change_headline_min
Morningside,Downtown,420031014001,40.485751,-79.924941,1105.0,52.9,1.0,17,51.5,1.0,13,53.9,1.0,17,51.5,1.0,13,-1.4
Morningside,Downtown,420031014002,40.484526,-79.928386,672.0,50.9,1.0,10,48.5,1.0,10,51.0,1.0,10,48.5,1.0,10,-2.4
Morningside,Downtown,420031014003,40.47506,-79.929914,754.0,46.9,1.0,16,41.7,1.0,16,46.9,1.0,16,42.5,1.0,16,-5.2
Morningside,Downtown,420031014004,40.479918,-79.930014,721.0,48.9,1.0,9,47.5,1.0,9,48.9,1.0,9,48.5,1.0,9,-1.4
Morningside,Oakland,420031005001,40.476837,-79.934759,784.0,75.9,1.0,8,61.7,1.0,8,76.1,1.0,8,67.7,1.0,8,-14.2
Morningside,Oakland,420031014001,40.485751,-79.924941,1105.0,56.1,1.0,17,46.9,1.0,13,56.1,1.0,17,47.8,1.0,13,-9.2
Morningside,Oakland,420031014002,40.484526,-79.928386,672.0,54.1,1.0,10,43.9,1.0,10,54.1,1.0,10,44.8,1.0,10,-10.2
Morningside,Oakland,420031014003,40.47506,-79.929914,754.0,51.1,1.0,16,41.9,1.0,16,51.1,1.0,16,44.7,1.0,16,-9.2
Morningside,Oakland,420031014004,40.479918,-79.930014,721.0,53.1,1.0,9,43.9,1.0,9,53.1,1.0,9,44.8,1.0,9,-9.2
"Mount Lebanon township (Allegheny, PA)",Downtown,420034731001,40.39677,-80.050722,1410.0,50.6,1.0,3,40.3,1.0,3,51.2,1.0,3,40.3,1.0,3,-10.3
"Mount Lebanon township (Allegheny, PA)",Downtown,420034731002,40.391868,-80.052186,846.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Mount Lebanon township (Allegheny, PA)",Downtown,420034731003,40.387297,-80.049548,914.0,43.4,1.0,12,37.3,1.0,6,44.2,1.0,12,37.3,1.0,6,-6.1
"Mount Lebanon township (Allegheny, PA)",Downtown,420034731004,40.389568,-80.051218,759.0,48.2,1.0,8,38.3,1.0,7,49.2,1.0,8,38.3,1.0,7,-9.9
"Mount Lebanon township (Allegheny, PA)",Downtown,420034731005,40.389583,-80.045084,1034.0,43.4,1.0,13,37.3,1.0,12,43.4,1.0,13,37.3,1.0,12,-6.1
"Mount Lebanon township (Allegheny, PA)",Downtown,420034732001,40.385116,-80.047399,950.0,52.4,1.0,11,45.3,1.0,6,51.4,1.0,11,45.3,1.0,6,-7.1
"Mount Lebanon township (Allegheny, PA)",Downtown,420034732002,40.382543,-80.047466,1057.0,48.5,1.0,7,39.0,1.0,12,48.4,1.0,7,39.0,1.0,12,-9.5
"Mount Lebanon township (Allegheny, PA)",Downtown,420034732003,40.378748,-80.048024,1287.0,,0.0,0,42.3,1.0,5,,0.0,0,42.3,1.0,5,
"Mount Lebanon township (Allegheny, PA)",Downtown,420034733002,40.381427,-80.036393,1382.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Mount Lebanon township (Allegheny, PA)",Downtown,420034733004,40.37562,-80.033814,1040.0,52.5,1.0,2,47.0,1.0,2,52.5,1.0,2,47.0,1.0,2,-5.5
"Mount Lebanon township (Allegheny, PA)",Downtown,420034733005,40.378793,-80.0323,681.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Mount Lebanon township (Allegheny, PA)",Downtown,420034734011,40.371965,-80.037989,715.0,53.5,1.0,2,48.0,1.0,2,53.5,1.0,2,48.0,1.0,2,-5.5
"Mount Lebanon township (Allegheny, PA)",Downtown,420034734012,40.375532,-80.041059,592.0,48.5,1.0,2,43.0,1.0,2,48.5,1.0,2,43.0,1.0,2,-5.5
"Mount Lebanon township (Allegheny, PA)",Downtown,420034734013,40.376454,-80.043498,1100.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Mount Lebanon township (Allegheny, PA)",Downtown,420034734014,40.369021,-80.045796,1324.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Mount Lebanon township (Allegheny, PA)",Downtown,420034734021,40.355996,-80.047691,1056.0,63.6,1.0,3,,0.0,0,65.2,1.0,3,,0.0,0,
"Mount Lebanon township (Allegheny, PA)",Downtown,420034734023,40.358685,-80.039855,1903.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Mount Lebanon township (Allegheny, PA)",Downtown,420034735001,40.373,-80.054312,836.0,56.6,1.0,2,,0.0,0,57.2,1.0,2,,0.0,0,
"Mount Lebanon township (Allegheny, PA)",Downtown,420034735002,40.366111,-80.056761,857.0,62.2,1.0,2,,0.0,0,63.2,1.0,2,,0.0,0,
"Mount Lebanon township (Allegheny, PA)",Downtown,420034735003,40.361716,-80.05432,2095.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Mount Lebanon township (Allegheny, PA)",Downtown,420034736011,40.388629,-80.06512,1007.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Mount Lebanon township (Allegheny, PA)",Downtown,420034736012,40.383896,-80.06069,1458.0,69.4,1.0,8,68.6,1.0,8,69.4,1.0,8,68.6,1.0,8,-0.8
"Mount Lebanon township (Allegheny, PA)",Downtown,420034736013,40.380116,-80.057229,1671.0,47.4,1.0,13,67.3,1.0,9,47.4,1.0,13,67.3,1.0,9,19.9
"Mount Lebanon township (Allegheny, PA)",Downtown,420034736021,40.372583,-80.061898,728.0,69.6,1.0,5,,0.0,0,71.2,1.0,5,,0.0,0,
"Mount Lebanon township (Allegheny, PA)",Downtown,420034736022,40.369774,-80.068315,1933.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Mount Lebanon township (Allegheny, PA)",Downtown,420034736023,40.368899,-80.074715,723.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Mount Lebanon township (Allegheny, PA)",Downtown,420034736024,40.375468,-80.075979,1330.0,80.4,1.0,8,74.3,1.0,8,80.4,1.0,8,74.3,1.0,8,-6.1
"Mount Lebanon township (Allegheny, PA)",Downtown,420034741011,40.356317,-80.063314,2341.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Mount Lebanon township (Allegheny, PA)",Oakland,420034731001,40.39677,-80.050722,1410.0,72.1,1.0,3,57.4,1.0,3,80.1,1.0,3,57.4,1.0,3,-14.7
"Mount Lebanon township (Allegheny, PA)",Oakland,420034731002,40.391868,-80.052186,846.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Mount Lebanon township (Allegheny, PA)",Oakland,420034731003,40.387297,-80.049548,914.0,67.1,1.0,12,54.4,1.0,6,71.1,1.0,12,54.4,1.0,6,-12.7
"Mount Lebanon township (Allegheny, PA)",Oakland,420034731004,40.389568,-80.051218,759.0,68.1,1.0,8,55.4,1.0,7,74.1,1.0,8,55.4,1.0,7,-12.7
"Mount Lebanon township (Allegheny, PA)",Oakland,420034731005,40.389583,-80.045084,1034.0,69.1,1.0,13,52.4,1.0,12,72.1,1.0,13,52.4,1.0,12,-16.7
"Mount Lebanon township (Allegheny, PA)",Oakland,420034732001,40.385116,-80.047399,950.0,79.1,1.0,11,59.4,1.0,6,79.1,1.0,11,59.4,1.0,6,-19.7
"Mount Lebanon township (Allegheny, PA)",Oakland,420034732002,40.382543,-80.047466,1057.0,71.1,1.0,7,54.4,1.0,12,73.1,1.0,7,54.4,1.0,12,-16.7
"Mount Lebanon township (Allegheny, PA)",Oakland,420034732003,40.378748,-80.048024,1287.0,,0.0,0,57.4,1.0,5,,0.0,0,57.4,1.0,5,
"Mount Lebanon township (Allegheny, PA)",Oakland,420034733002,40.381427,-80.036393,1382.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Mount Lebanon township (Allegheny, PA)",Oakland,420034733004,40.37562,-80.033814,1040.0,75.1,1.0,2,64.4,1.0,2,77.1,1.0,2,64.4,1.0,2,-10.7
"Mount Lebanon township (Allegheny, PA)",Oakland,420034733005,40.378793,-80.0323,681.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Mount Lebanon township (Allegheny, PA)",Oakland,420034734011,40.371965,-80.037989,715.0,76.1,1.0,2,65.4,1.0,2,78.1,1.0,2,65.4,1.0,2,-10.7
"Mount Lebanon township (Allegheny, PA)",Oakland,420034734012,40.375532,-80.041059,592.0,71.1,1.0,2,60.4,1.0,2,73.1,1.0,2,60.4,1.0,2,-10.7
"Mount Lebanon township (Allegheny, PA)",Oakland,420034734013,40.376454,-80.043498,1100.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Mount Lebanon township (Allegheny, PA)",Oakland,420034734014,40.369021,-80.045796,1324.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Mount Lebanon township (Allegheny, PA)",Oakland,420034734021,40.355996,-80.047691,1056.0,85.1,1.0,3,,0.0,0,94.1,1.0,3,,0.0,0,
"Mount Lebanon township (Allegheny, PA)",Oakland,420034734023,40.358685,-80.039855,1903.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Mount Lebanon township (Allegheny, PA)",Oakland,420034735001,40.373,-80.054312,836.0,78.1,1.0,2,,0.0,0,86.1,1.0,2,,0.0,0,
"Mount Lebanon township (Allegheny, PA)",Oakland,420034735002,40.366111,-80.056761,857.0,84.1,1.0,2,,0.0,0,92.1,1.0,2,,0.0,0,
"Mount Lebanon township (Allegheny, PA)",Oakland,420034735003,40.361716,-80.05432,2095.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Mount Lebanon township (Allegheny, PA)",Oakland,420034736011,40.388629,-80.06512,1007.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Mount Lebanon township (Allegheny, PA)",Oakland,420034736012,40.383896,-80.06069,1458.0,93.1,1.0,8,81.4,1.0,8,97.1,1.0,8,81.4,1.0,8,-11.7
"Mount Lebanon township (Allegheny, PA)",Oakland,420034736013,40.380116,-80.057229,1671.0,73.1,1.0,13,78.4,1.0,9,76.1,1.0,13,78.4,1.0,9,5.3
"Mount Lebanon township (Allegheny, PA)",Oakland,420034736021,40.372583,-80.061898,728.0,91.1,1.0,5,,0.0,0,99.1,1.0,5,,0.0,0,
"Mount Lebanon township (Allegheny, PA)",Oakland,420034736022,40.369774,-80.068315,1933.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Mount Lebanon township (Allegheny, PA)",Oakland,420034736023,40.368899,-80.074715,723.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Mount Lebanon township (Allegheny, PA)",Oakland,420034736024,40.375468,-80.075979,1330.0,104.1,1.0,8,89.4,1.0,8,108.1,1.0,8,89.4,1.0,8,-14.7
"Mount Lebanon township (Allegheny, PA)",Oakland,420034741011,40.356317,-80.063314,2341.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Mount Oliver borough (Allegheny, PA)",Downtown,420034810001,40.416114,-79.985409,853.0,32.2,1.0,20,31.4,1.0,20,32.2,1.0,20,31.4,1.0,20,-0.8
"Mount Oliver borough (Allegheny, PA)",Downtown,420034810002,40.412262,-79.984101,826.0,55.4,1.0,9,46.4,1.0,9,55.4,1.0,9,46.4,1.0,9,-9.0
"Mount Oliver borough (Allegheny, PA)",Downtown,420034810004,40.408017,-79.9862,669.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Mount Oliver borough (Allegheny, PA)",Oakland,420034810001,40.416114,-79.985409,853.0,36.1,1.0,20,38.4,1.0,20,36.1,1.0,20,39.4,1.0,20,2.3
"Mount Oliver borough (Allegheny, PA)",Oakland,420034810002,40.412262,-79.984101,826.0,69.1,1.0,9,53.4,1.0,9,69.1,1.0,9,66.4,1.0,9,-15.7
"Mount Oliver borough (Allegheny, PA)",Oakland,420034810004,40.408017,-79.9862,669.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
Mount Washington,Downtown,420031807001,40.426416,-80.001514,628.0,39.4,1.0,15,,0.0,0,40.4,1.0,15,,0.0,0,
Mount Washington,Downtown,420031807002,40.424673,-80.001182,632.0,39.4,1.0,16,,0.0,0,41.4,1.0,16,,0.0,0,
Mount Washington,Downtown,420031903001,40.434755,-80.015097,1214.0,47.4,1.0,14,43.6,1.0,14,47.4,1.0,14,43.6,1.0,14,-3.8
Mount Washington,Downtown,420031903002,40.4311,-80.015063,716.0,45.4,1.0,13,43.4,1.0,13,45.4,1.0,13,43.4,1.0,13,-2.0
Mount Washington,Downtown,420031911001,40.43328,-80.021815,935.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
Mount Washington,Downtown,420031914001,40.429224,-80.007845,1337.0,35.4,1.0,24,33.4,1.0,18,37.4,1.0,24,43.3,1.0,18,-2.0
Mount Washington,Downtown,420031914002,40.426798,-80.012149,1388.0,37.4,1.0,16,44.4,1.0,12,38.4,1.0,16,45.4,1.0,12,7.0
Mount Washington,Downtown,420031915001,40.419918,-80.011241,709.0,24.5,1.0,25,23.0,1.0,17,24.5,1.0,25,23.0,1.0,17,-1.5
Mount Washington,Downtown,420031915002,40.422688,-80.009194,1296.0,23.4,1.0,26,21.4,1.0,18,23.4,1.0,26,21.4,1.0,18,-2.0
Mount Washington,Oakland,420031807001,40.426416,-80.001514,628.0,64.1,1.0,15,,0.0,0,67.1,1.0,15,,0.0,0,
Mount Washington,Oakland,420031807002,40.424673,-80.001182,632.0,65.1,1.0,16,,0.0,0,68.1,1.0,16,,0.0,0,
Mount Washington,Oakland,420031903001,40.434755,-80.015097,1214.0,74.1,1.0,14,64.4,1.0,14,74.2,1.0,14,64.4,1.0,14,-9.7
Mount Washington,Oakland,420031903002,40.4311,-80.015063,716.0,72.1,1.0,13,63.4,1.0,13,73.1,1.0,13,63.4,1.0,13,-8.7
Mount Washington,Oakland,420031911001,40.43328,-80.021815,935.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
Mount Washington,Oakland,420031914001,40.429224,-80.007845,1337.0,62.1,1.0,24,52.4,1.0,18,64.1,1.0,24,62.4,1.0,18,-9.7
Mount Washington,Oakland,420031914002,40.426798,-80.012149,1388.0,64.1,1.0,16,64.4,1.0,12,66.1,1.0,16,64.4,1.0,12,0.3
Mount Washington,Oakland,420031915001,40.419918,-80.011241,709.0,48.1,1.0,25,41.4,1.0,17,50.1,1.0,25,42.4,1.0,17,-6.7
Mount Washington,Oakland,420031915002,40.422688,-80.009194,1296.0,46.1,1.0,26,40.4,1.0,18,47.1,1.0,26,41.4,1.0,18,-5.7
Mt. Oliver,Downtown,,40.411616,-79.977955,,53.4,1.0,14,45.4,1.0,11,53.4,1.0,14,45.4,1.0,11,-8.0
Mt. Oliver,Oakland,,40.411616,-79.977955,,67.1,1.0,14,52.4,1.0,11,67.1,1.0,14,65.4,1.0,11,-14.7
"Munhall borough (Allegheny, PA)",Downtown,420034825001,40.39548,-79.913412,1872.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Munhall borough (Allegheny, PA)",Downtown,420034843001,40.405154,-79.898974,1001.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Munhall borough (Allegheny, PA)",Downtown,420034843002,40.40309,-79.891582,1086.0,50.1,1.0,8,64.9,1.0,8,50.1,1.0,8,64.9,1.0,8,14.8
"Munhall borough (Allegheny, PA)",Downtown,420034843003,40.406174,-79.902407,1035.0,45.1,1.0,5,51.5,1.0,5,45.1,1.0,5,51.5,1.0,5,6.4
"Munhall borough (Allegheny, PA)",Downtown,420034845001,40.378702,-79.901257,1744.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Munhall borough (Allegheny, PA)",Downtown,420034845002,40.382114,-79.900975,946.0,59.1,1.0,4,66.9,1.0,5,59.1,1.0,4,66.9,1.0,5,7.8
"Munhall borough (Allegheny, PA)",Downtown,420034845003,40.385484,-79.903369,1101.0,54.1,1.0,10,61.9,1.0,11,54.1,1.0,10,61.9,1.0,11,7.8
"Munhall borough (Allegheny, PA)",Downtown,420034845004,40.385158,-79.911387,1823.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Munhall borough (Allegheny, PA)",Downtown,420034846001,40.391325,-79.898234,904.0,56.1,1.0,8,63.9,1.0,9,56.1,1.0,8,63.9,1.0,9,7.8
"Munhall borough (Allegheny, PA)",Downtown,420034846002,40.393988,-79.903341,1134.0,60.1,1.0,9,66.9,1.0,9,60.1,1.0,9,66.9,1.0,9,6.8
"Munhall borough (Allegheny, PA)",Oakland,420034825001,40.39548,-79.913412,1872.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Munhall borough (Allegheny, PA)",Oakland,420034843001,40.405154,-79.898974,1001.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Munhall borough (Allegheny, PA)",Oakland,420034843002,40.40309,-79.891582,1086.0,66.1,1.0,8,65.9,1.0,8,66.1,1.0,8,66.7,1.0,8,-0.2
"Munhall borough (Allegheny, PA)",Oakland,420034843003,40.406174,-79.902407,1035.0,54.1,1.0,5,47.7,1.0,5,54.1,1.0,5,47.7,1.0,5,-6.4
"Munhall borough (Allegheny, PA)",Oakland,420034845001,40.378702,-79.901257,1744.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Munhall borough (Allegheny, PA)",Oakland,420034845002,40.382114,-79.900975,946.0,71.3,1.0,4,80.2,1.0,5,74.1,1.0,4,80.2,1.0,5,8.9
"Munhall borough (Allegheny, PA)",Oakland,420034845003,40.385484,-79.903369,1101.0,67.1,1.0,10,75.6,1.0,11,69.1,1.0,10,75.7,1.0,11,8.5
"Munhall borough (Allegheny, PA)",Oakland,420034845004,40.385158,-79.911387,1823.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"Munhall borough (Allegheny, PA)",Oakland,420034846001,40.391325,-79.898234,904.0,69.1,1.0,8,77.6,1.0,9,71.6,1.0,8,77.7,1.0,9,8.5
"Munhall borough (Allegheny, PA)",Oakland,420034846002,40.393988,-79.903341,1134.0,73.1,1.0,9,78.6,1.0,9,75.1,1.0,9,78.7,1.0,9,5.5
"Neville township (Allegheny, PA)",Downtown,420034610001,40.513227,-80.135166,1108.0,59.2,1.0,5,59.7,1.0,5,59.3,1.0,5,59.7,1.0,5,0.5
"Neville township (Allegheny, PA)",Oakland,420034610001,40.513227,-80.135166,1108.0,85.1,1.0,5,77.4,1.0,5,85.1,1.0,5,77.4,1.0,5,-7.7
New Homestead,Downtown,,40.381406,-79.927779,,50.1,1.0,6,45.9,1.0,6,50.1,1.0,6,45.9,1.0,6,-4.2
New Homestead,Oakland,,40.381406,-79.927779,,53.3,1.0,6,67.4,1.0,6,57.1,1.0,6,67.4,1.0,6,14.1
"New Kensington city (Westmoreland, PA)",Downtown,421298005002,40.57584,-79.753969,1560.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"New Kensington city (Westmoreland, PA)",Downtown,421298006001,40.570375,-79.762715,892.0,,0.0,0,145.5,1.0,2,,0.0,0,145.7,1.0,2,
"New Kensington city (Westmoreland, PA)",Downtown,421298006002,40.571415,-79.759061,1279.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"New Kensington city (Westmoreland, PA)",Downtown,421298007001,40.566259,-79.766514,647.0,93.9,1.0,2,92.4,1.0,5,93.9,1.0,2,92.7,1.0,5,-1.5
"New Kensington city (Westmoreland, PA)",Downtown,421298007002,40.558143,-79.762306,1318.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"New Kensington city (Westmoreland, PA)",Downtown,421298008001,40.557593,-79.752526,1714.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"New Kensington city (Westmoreland, PA)",Downtown,421298009002,40.567069,-79.745646,1427.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"New Kensington city (Westmoreland, PA)",Oakland,421298005002,40.57584,-79.753969,1560.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"New Kensington city (Westmoreland, PA)",Oakland,421298006001,40.570375,-79.762715,892.0,,0.0,0,144.7,1.0,2,,0.0,0,148.7,1.0,2,
"New Kensington city (Westmoreland, PA)",Oakland,421298006002,40.571415,-79.759061,1279.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"New Kensington city (Westmoreland, PA)",Oakland,421298007001,40.566259,-79.766514,647.0,112.1,1.0,2,96.7,1.0,5,114.1,1.0,2,96.7,1.0,5,-15.4
"New Kensington city (Westmoreland, PA)",Oakland,421298007002,40.558143,-79.762306,1318.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"New Kensington city (Westmoreland, PA)",Oakland,421298008001,40.557593,-79.752526,1714.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"New Kensington city (Westmoreland, PA)",Oakland,421298009002,40.567069,-79.745646,1427.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"North Braddock borough (Allegheny, PA)",Downtown,420035120001,40.401458,-79.843043,767.0,65.0,1.0,11,69.4,1.0,11,65.0,1.0,11,69.4,1.0,11,4.4
"North Braddock borough (Allegheny, PA)",Downtown,420035120002,40.406771,-79.846174,1306.0,60.0,1.0,12,66.4,1.0,12,60.6,1.0,12,66.4,1.0,12,6.4
"North Braddock borough (Allegheny, PA)",Downtown,420035130001,40.403585,-79.860124,1311.0,50.0,1.0,15,55.5,1.0,11,50.0,1.0,15,55.5,1.0,11,5.5
"North Braddock borough (Allegheny, PA)",Downtown,420035130002,40.409905,-79.865475,936.0,46.0,1.0,12,53.5,1.0,8,46.0,1.0,12,62.5,1.0,8,7.5
"North Braddock borough (Allegheny, PA)",Downtown,420035639001,40.409959,-79.838333,748.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"North Braddock borough (Allegheny, PA)",Oakland,420035120001,40.401458,-79.843043,767.0,77.1,1.0,11,74.7,1.0,11,77.1,1.0,11,74.7,1.0,11,-2.4
"North Braddock borough (Allegheny, PA)",Oakland,420035120002,40.406771,-79.846174,1306.0,73.1,1.0,12,71.7,1.0,12,73.1,1.0,12,71.7,1.0,12,-1.4
"North Braddock borough (Allegheny, PA)",Oakland,420035130001,40.403585,-79.860124,1311.0,58.1,1.0,15,59.7,1.0,11,58.1,1.0,15,59.7,1.0,11,1.6
"North Braddock borough (Allegheny, PA)",Oakland,420035130002,40.409905,-79.865475,936.0,57.1,1.0,12,58.7,1.0,8,57.1,1.0,12,58.7,1.0,8,1.6
"North Braddock borough (Allegheny, PA)",Oakland,420035639001,40.409959,-79.838333,748.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"North Fayette township (Allegheny, PA)",Downtown,420034520002,40.45889,-80.209218,1839.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"North Fayette township (Allegheny, PA)",Downtown,420034530032,40.439738,-80.197675,600.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"North Fayette township (Allegheny, PA)",Downtown,420034530042,40.44403,-80.213721,1964.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"North Fayette township (Allegheny, PA)",Downtown,420034530043,40.445491,-80.201126,2701.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"North Fayette township (Allegheny, PA)",Oakland,420034520002,40.45889,-80.209218,1839.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"North Fayette township (Allegheny, PA)",Oakland,420034530032,40.439738,-80.197675,600.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"North Fayette township (Allegheny, PA)",Oakland,420034530042,40.44403,-80.213721,1964.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"North Fayette township (Allegheny, PA)",Oakland,420034530043,40.445491,-80.201126,2701.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
North Oakland,Downtown,420030404001,40.446326,-79.948083,685.0,28.0,1.0,17,23.5,1.0,13,28.0,1.0,17,23.5,1.0,13,-4.5
North Oakland,Downtown,420030404002,40.44809,-79.950173,1535.0,29.0,1.0,17,24.5,1.0,16,29.0,1.0,17,24.5,1.0,16,-4.5
North Oakland,Downtown,420030709002,40.451666,-79.947499,786.0,31.0,1.0,30,28.5,1.0,24,31.0,1.0,30,28.5,1.0,24,-2.5
North Oakland,Downtown,420035620001,40.450973,-79.950902,1403.0,28.7,1.0,28,26.5,1.0,22,28.7,1.0,28,26.5,1.0,22,-2.2
North Oakland,Downtown,420035620002,40.453357,-79.95294,1119.0,29.7,1.0,25,27.5,1.0,18,29.7,1.0,25,27.5,1.0,18,-2.2
North Oakland,Downtown,420035620003,40.449121,-79.954275,927.0,31.0,1.0,22,25.5,1.0,24,31.0,1.0,22,25.5,1.0,24,-5.5
North Oakland,Downtown,420039822001,40.443978,-79.956125,5022.0,23.0,1.0,10,18.5,1.0,7,23.0,1.0,10,18.5,1.0,7,-4.5
North Oakland,Oakland,420030404001,40.446326,-79.948083,685.0,16.1,1.0,17,15.7,1.0,13,16.1,1.0,17,15.7,1.0,13,-0.4
North Oakland,Oakland,420030404002,40.44809,-79.950173,1535.0,16.2,1.0,17,15.8,1.0,16,16.2,1.0,17,15.8,1.0,16,-0.4
North Oakland,Oakland,420030709002,40.451666,-79.947499,786.0,23.1,1.0,30,20.7,1.0,24,23.1,1.0,30,20.7,1.0,24,-2.4
North Oakland,Oakland,420035620001,40.450973,-79.950902,1403.0,22.1,1.0,28,18.7,1.0,22,22.1,1.0,28,18.7,1.0,22,-3.4
North Oakland,Oakland,420035620002,40.453357,-79.95294,1119.0,22.1,1.0,25,19.7,1.0,18,22.1,1.0,25,19.7,1.0,18,-2.4
North Oakland,Oakland,420035620003,40.449121,-79.954275,927.0,18.2,1.0,22,18.7,1.0,24,18.2,1.0,22,18.7,1.0,24,0.5
North Oakland,Oakland,420039822001,40.443978,-79.956125,5022.0,11.1,1.0,10,11.7,1.0,7,11.1,1.0,10,11.7,1.0,7,0.6
North Shore,Downtown,420035632011,40.449125,-79.998934,301.0,14.9,1.0,8,14.9,1.0,6,14.9,1.0,8,14.9,1.0,6,0.0
North Shore,Oakland,420035632011,40.449125,-79.998934,301.0,40.1,1.0,8,36.4,1.0,6,42.1,1.0,8,38.4,1.0,6,-3.7
"North Versailles township (Allegheny, PA)",Downtown,420035041001,40.39087,-79.817419,1052.0,78.0,1.0,2,84.4,1.0,2,78.0,1.0,2,84.4,1.0,2,6.4
"North Versailles township (Allegheny, PA)",Downtown,420035041002,40.394306,-79.824178,552.0,,0.0,2,,0.0,2,,0.0,2,,0.0,2,
"North Versailles township (Allegheny, PA)",Downtown,420035041003,40.375864,-79.817349,779.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"North Versailles township (Allegheny, PA)",Downtown,420035041004,40.38025,-79.833778,1454.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"North Versailles township (Allegheny, PA)",Downtown,420035041005,40.372793,-79.825311,1189.0,92.1,1.0,4,93.5,1.0,4,92.1,1.0,4,93.5,1.0,4,1.4
"North Versailles township (Allegheny, PA)",Downtown,420035644001,40.36561,-79.786214,1051.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"North Versailles township (Allegheny, PA)",Downtown,420035644002,40.367001,-79.800987,1165.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"North Versailles township (Allegheny, PA)",Downtown,420035644003,40.370396,-79.809243,974.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"North Versailles township (Allegheny, PA)",Downtown,420035644004,40.380822,-79.794398,1330.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
"North Versailles township (Allegheny, PA)",Downtown,420035644005,40.375264,-79.810756,528.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
