place,anchor,origin_source,origin_points,origin_population,origin_centre_lat,origin_centre_lon,dest_lat,dest_lon,headline_current_median_min,headline_current_best_min,headline_current_worst_min,headline_current_reachable_fraction,headline_current_median_transfers,headline_current_median_wait_min,headline_proposed_median_min,headline_proposed_best_min,headline_proposed_worst_min,headline_proposed_reachable_fraction,headline_proposed_median_transfers,headline_proposed_median_wait_min,strict_current_median_min,strict_current_best_min,strict_current_worst_min,strict_current_reachable_fraction,strict_current_median_transfers,strict_current_median_wait_min,strict_proposed_median_min,strict_proposed_best_min,strict_proposed_worst_min,strict_proposed_reachable_fraction,strict_proposed_median_transfers,strict_proposed_median_wait_min,headline_current_origin_coverage_fraction,headline_current_dest_access_stops,headline_proposed_origin_coverage_fraction,headline_proposed_dest_access_stops,strict_current_origin_coverage_fraction,strict_current_dest_access_stops,strict_proposed_origin_coverage_fraction,strict_proposed_dest_access_stops,headline_classification,strict_classification,change_headline_min,change_strict_min,sign_flips_between_radii,spread_headline_min
Morningside,Oakland,residents,5,4036.0,40.480776,-79.929257,40.443719,-79.958853,50.0,35.0,89.0,1.0,1,10.1,41.4,28.4,74.4,1.0,0,8.1,50.0,35.0,89.0,1.0,1,11.0,41.4,28.4,79.7,1.0,0,8.4,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-8.6,-8.6,False,2.0
"Mount Lebanon township (Allegheny, PA)",Downtown,residents,28,33029.0,40.374888,-80.05253,40.440773,-79.999105,53.4,27.2,118.4,0.497,1,14.9,46.4,23.3,107.3,0.43,0,10.0,53.5,27.2,118.4,0.497,1,15.9,46.6,23.3,107.3,0.43,0,10.0,0.497,42,0.43,38,0.497,42,0.43,38,comparable,comparable,-7.0,-6.9,False,30.2
"Mount Lebanon township (Allegheny, PA)",Oakland,residents,28,33029.0,40.374888,-80.05253,40.443719,-79.958853,77.2,47.2,143.2,0.497,1,22.0,62.2,36.2,120.2,0.43,1,14.6,81.2,54.2,146.2,0.497,2,26.0,62.2,36.2,120.2,0.43,1,14.8,0.497,14,0.43,11,0.497,14,0.43,11,comparable,comparable,-15.0,-19.0,False,24.0
"Mount Oliver borough (Allegheny, PA)",Downtown,residents,3,2348.0,40.412452,-79.985174,40.440773,-79.999105,36.4,26.9,77.4,0.715,0,5.9,36.4,24.4,61.4,0.715,0,7.8,36.4,26.9,91.4,0.715,0,5.9,36.4,24.4,61.4,0.715,0,7.8,0.715,42,0.715,38,0.715,42,0.715,38,comparable,comparable,0.0,0.0,False,8.2
"Mount Oliver borough (Allegheny, PA)",Oakland,residents,3,2348.0,40.412452,-79.985174,40.443719,-79.958853,45.2,27.2,94.2,0.715,1,14.0,44.0,29.2,68.2,0.715,1,10.8,45.2,27.2,108.2,0.715,0,15.7,52.2,29.2,81.2,0.715,1,10.9,0.715,14,0.715,11,0.715,14,0.715,11,comparable,comparable,-1.2,7.0,True,19.0
Mount Washington,Downtown,residents,9,8855.0,40.427956,-80.011117,40.440773,-79.999105,34.4,16.4,67.4,0.894,0,8.3,35.4,15.4,71.4,0.752,0,7.8,35.4,16.4,67.4,0.894,0,8.6,38.4,15.4,71.4,0.752,0,7.8,0.894,42,0.752,38,0.894,42,0.752,38,comparable,comparable,1.0,3.0,False,10.8
Mount Washington,Oakland,residents,9,8855.0,40.427956,-80.011117,40.443719,-79.958853,62.2,40.2,97.2,0.894,1,12.7,54.2,30.2,88.2,0.752,1,14.8,64.2,40.2,99.2,0.894,1,16.8,58.2,30.2,88.2,0.752,1,13.1,0.894,14,0.752,11,0.894,14,0.752,11,comparable,comparable,-8.0,-6.0,False,11.0
Mt. Oliver,Downtown,stops,1,,40.411616,-79.977955,40.440773,-79.999105,53.4,31.4,75.4,1.0,0,15.4,45.4,30.4,60.4,1.0,0,13.3,53.4,31.4,89.4,1.0,0,20.4,45.4,30.4,60.4,1.0,0,13.3,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,-8.0,-8.0,False,
Mt. Oliver,Oakland,stops,1,,40.411616,-79.977955,40.443719,-79.958853,67.2,40.2,89.2,1.0,1,22.6,52.2,38.2,67.2,1.0,1,17.2,67.2,40.2,106.2,1.0,1,30.6,65.2,51.2,80.2,1.0,1,17.6,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-15.0,-2.0,False,
"Munhall borough (Allegheny, PA)",Downtown,residents,10,12646.0,40.391672,-79.903733,40.440773,-79.999105,53.1,30.1,107.4,0.491,0,12.1,60.9,38.9,96.9,0.491,0,15.7,53.1,30.1,107.4,0.491,0,12.6,60.9,38.9,96.9,0.491,0,16.6,0.491,42,0.491,38,0.491,42,0.491,38,comparable,comparable,7.8,7.8,False,8.4
"Munhall borough (Allegheny, PA)",Oakland,residents,10,12646.0,40.391672,-79.903733,40.443719,-79.958853,64.0,42.0,123.2,0.491,1,13.6,69.7,37.4,116.2,0.491,1,18.7,66.0,42.0,123.2,0.491,1,15.8,69.7,37.4,116.2,0.491,1,22.4,0.491,14,0.491,11,0.491,14,0.491,11,comparable,comparable,5.7,3.7,False,17.1
"Neville township (Allegheny, PA)",Downtown,residents,1,1108.0,40.513227,-80.135166,40.440773,-79.999105,59.2,44.2,73.2,1.0,0,15.2,59.7,40.7,79.7,1.0,0,19.2,59.3,44.3,73.3,1.0,0,15.2,59.7,40.7,79.7,1.0,0,19.2,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,0.5,0.4,False,
"Neville township (Allegheny, PA)",Oakland,residents,1,1108.0,40.513227,-80.135166,40.443719,-79.958853,85.2,67.2,102.2,1.0,1,21.7,77.2,53.2,102.2,1.0,1,23.2,86.2,67.2,102.2,1.0,2,24.2,77.2,53.2,102.2,1.0,1,23.2,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-8.0,-9.0,False,
New Homestead,Downtown,stops,1,,40.381406,-79.927779,40.440773,-79.999105,50.1,28.1,75.1,1.0,0,16.4,45.9,26.9,65.9,1.0,0,17.8,50.1,28.1,75.1,1.0,0,16.4,45.9,26.9,65.9,1.0,0,17.8,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,-4.2,-4.2,False,
New Homestead,Oakland,stops,1,,40.381406,-79.927779,40.443719,-79.958853,54.2,31.2,82.2,1.0,1,19.5,68.2,46.2,89.2,1.0,1,22.1,61.2,31.2,97.2,1.0,1,24.8,68.2,46.2,89.2,1.0,1,23.8,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,14.0,7.0,False,
"New Kensington city (Westmoreland, PA)",Downtown,residents,7,8837.0,40.566352,-79.756127,40.440773,-79.999105,93.9,69.7,112.9,0.073,0,23.7,114.5,71.4,175.5,0.174,1,31.7,93.9,69.7,112.9,0.073,0,23.7,117.7,71.4,175.7,0.174,1,34.1,0.073,42,0.174,38,0.073,42,0.174,38,comparable,comparable,20.6,23.8,False,
"New Kensington city (Westmoreland, PA)",Oakland,residents,7,8837.0,40.566352,-79.756127,40.443719,-79.958853,109.0,81.0,137.0,0.073,2,29.8,117.4,73.4,176.4,0.174,2,34.7,109.0,82.0,137.0,0.073,2,31.9,118.4,73.4,176.4,0.174,2,34.5,0.073,14,0.174,11,0.073,14,0.174,11,comparable,comparable,8.4,9.4,False,
"North Braddock borough (Allegheny, PA)",Downtown,residents,5,5068.0,40.406192,-79.851716,40.440773,-79.999105,54.9,36.0,112.7,0.852,1,11.5,59.5,43.5,90.0,0.852,1,13.5,55.0,36.0,112.7,0.852,1,12.5,61.5,46.5,90.0,0.852,1,14.5,0.852,42,0.852,38,0.852,42,0.852,38,comparable,comparable,4.6,6.5,False,3.1
"North Braddock borough (Allegheny, PA)",Oakland,residents,5,5068.0,40.406192,-79.851716,40.443719,-79.958853,58.0,43.0,112.0,0.852,1,9.7,58.4,41.4,97.4,0.852,1,10.6,58.0,43.0,112.0,0.852,1,10.1,58.4,41.4,97.4,0.852,1,10.6,0.852,14,0.852,11,0.852,14,0.852,11,comparable,comparable,0.4,0.4,False,7.0
"North Fayette township (Allegheny, PA)",Downtown,residents,4,7104.0,40.44807,-80.206411,40.440773,-79.999105,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,0.0,42,0.0,38,0.0,42,0.0,38,no_origin_coverage,no_origin_coverage,,,,
"North Fayette township (Allegheny, PA)",Oakland,residents,4,7104.0,40.44807,-80.206411,40.443719,-79.958853,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,0.0,14,0.0,11,0.0,14,0.0,11,no_origin_coverage,no_origin_coverage,,,,
North Oakland,Downtown,residents,7,11477.0,40.44738,-79.95316,40.440773,-79.999105,27.0,18.0,37.4,1.0,0,3.0,22.4,15.5,36.5,1.0,0,2.6,27.0,18.0,38.0,1.0,0,3.0,22.4,15.5,36.5,1.0,0,2.6,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,-4.6,-4.6,False,3.3
North Shore,Downtown,residents,1,301.0,40.449125,-79.998934,40.440773,-79.999105,14.9,12.9,20.9,1.0,0,1.9,14.9,10.3,25.0,1.0,0,1.9,14.9,12.9,20.9,1.0,0,1.9,14.9,10.3,25.0,1.0,0,1.9,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,0.0,0.0,False,
North Shore,Oakland,residents,1,301.0,40.449125,-79.998934,40.443719,-79.958853,41.2,32.2,49.2,1.0,1,7.6,37.2,28.2,50.2,1.0,1,8.2,43.2,32.2,55.2,1.0,1,12.3,39.2,28.2,50.2,1.0,1,10.2,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-4.0,-4.0,False,
"North Versailles township (Allegheny, PA)",Downtown,residents,11,11166.0,40.37421,-79.807854,40.440773,-79.999105,83.1,57.0,125.1,0.201,1,24.6,90.5,62.0,127.5,0.201,1,24.3,83.1,57.0,125.1,0.201,1,24.7,90.5,62.0,127.5,0.201,1,25.0,0.25,42,0.25,38,0.25,42,0.25,38,comparable,comparable,7.4,7.4,False,5.0
"North Versailles township (Allegheny, PA)",Oakland,residents,11,11166.0,40.37421,-79.807854,40.443719,-79.958853,85.0,61.0,118.0,0.201,1,20.7,89.4,59.4,119.4,0.201,1,26.0,86.0,61.0,118.0,0.201,1,22.6,89.4,59.4,119.4,0.201,1,27.8,0.25,14,0.25,11,0.25,14,0.25,11,comparable,comparable,4.4,3.4,False,5.0
Northview Heights,Downtown,residents,1,1769.0,40.477377,-80.000679,40.440773,-79.999105,45.9,30.9,60.9,1.0,0,10.4,41.9,28.3,58.9,1.0,1,9.1,45.9,30.9,60.9,1.0,0,10.4,41.9,28.3,58.9,1.0,1,9.1,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,-4.0,-4.0,False,
Northview Heights,Oakland,residents,1,1769.0,40.477377,-80.000679,40.443719,-79.958853,71.2,54.2,87.2,1.0,1,15.1,63.2,49.2,78.2,1.0,1,14.9,72.2,54.2,90.1,1.0,1,16.7,63.2,49.2,78.2,1.0,1,15.3,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-8.0,-9.0,False,
"O'Hara township (Allegheny, PA)",Downtown,residents,4,4562.0,40.501068,-79.872614,40.440773,-79.999105,68.9,56.9,81.9,0.635,0,7.7,63.4,50.4,89.5,0.635,0,9.0,68.9,56.9,81.9,0.635,0,7.7,63.7,50.4,89.7,0.635,0,9.7,0.82,42,0.82,38,0.82,42,0.82,38,comparable,comparable,-5.5,-5.2,False,0.7
"O'Hara township (Allegheny, PA)",Oakland,residents,4,4562.0,40.501068,-79.872614,40.443719,-79.958853,81.0,64.0,95.0,0.635,1,13.9,74.7,52.4,96.4,0.635,1,18.8,81.0,64.0,95.0,0.635,1,16.0,77.4,52.4,97.4,0.635,1,23.4,0.82,14,0.82,11,0.82,14,0.82,11,comparable,comparable,-6.3,-3.6,False,17.3
"Oakmont borough (Allegheny, PA)",Downtown,residents,5,6758.0,40.519464,-79.836887,40.440773,-79.999105,67.7,53.0,90.9,0.384,0,12.0,72.0,56.4,91.0,0.375,1,12.4,67.7,53.0,90.9,0.384,0,12.0,72.0,56.4,91.0,0.375,1,12.4,0.704,42,0.375,38,0.704,42,0.375,38,comparable,comparable,4.3,4.3,False,0.0
"Oakmont borough (Allegheny, PA)",Oakland,residents,5,6758.0,40.519464,-79.836887,40.443719,-79.958853,78.0,60.0,115.0,0.384,1,18.1,75.4,63.4,98.4,0.375,1,20.3,79.0,60.0,115.0,0.384,1,20.1,75.4,63.4,98.4,0.375,1,20.3,0.704,14,0.375,11,0.704,14,0.375,11,comparable,comparable,-2.6,-3.6,False,0.0
Oakwood,Downtown,residents,1,955.0,40.427583,-80.076083,40.440773,-79.999105,32.7,25.7,48.2,1.0,0,5.5,30.6,25.6,41.6,1.0,0,3.5,32.7,25.7,48.2,1.0,0,5.5,30.6,25.6,41.6,1.0,0,3.5,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,-2.1,-2.1,False,
Oakwood,Oakland,residents,1,955.0,40.427583,-80.076083,40.443719,-79.958853,51.2,40.2,66.2,1.0,0,8.5,48.2,35.2,60.2,1.0,0,9.5,51.2,40.2,66.2,1.0,0,8.5,48.2,35.2,60.2,1.0,0,9.5,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-3.0,-3.0,False,
Overbrook,Downtown,residents,5,4333.0,40.382654,-79.995271,40.440773,-79.999105,34.4,23.4,63.4,0.432,0,8.5,40.4,23.4,91.4,0.689,0,11.0,34.4,23.4,63.4,0.432,0,8.5,40.4,23.4,91.4,0.689,0,11.0,0.628,42,0.689,38,0.628,42,0.689,38,comparable,comparable,6.0,6.0,False,1.0
Overbrook,Oakland,residents,5,4333.0,40.382654,-79.995271,40.443719,-79.958853,63.2,48.2,87.2,0.432,1,15.9,60.2,39.2,110.2,0.689,1,16.4,63.2,48.2,87.2,0.432,1,16.0,60.2,39.2,110.2,0.689,1,18.8,0.628,14,0.689,11,0.628,14,0.689,11,comparable,comparable,-3.0,-3.0,False,0.0
"Penn Hills township (Allegheny, PA)",Downtown,residents,37,41344.0,40.474719,-79.825192,40.440773,-79.999105,61.0,35.7,146.0,0.366,1,15.5,66.7,38.4,145.5,0.348,1,17.4,62.7,35.7,151.0,0.366,0,17.3,67.4,38.4,151.0,0.348,1,16.5,0.428,42,0.39,38,0.428,42,0.39,38,comparable,comparable,5.7,4.7,False,23.0
"Penn Hills township (Allegheny, PA)",Oakland,residents,37,41344.0,40.474719,-79.825192,40.443719,-79.958853,70.0,44.0,147.0,0.366,1,16.9,67.7,40.4,140.4,0.348,1,20.9,71.0,44.0,150.0,0.366,1,18.6,68.4,41.4,162.4,0.348,1,22.1,0.428,14,0.39,11,0.428,14,0.39,11,comparable,comparable,-2.3,-2.6,False,15.0
Perry North,Downtown,residents,5,3758.0,40.486971,-80.015944,40.440773,-79.999105,40.9,27.9,55.9,0.997,0,4.4,40.9,24.9,59.9,0.997,0,7.2,40.9,27.9,55.9,0.997,0,4.4,40.9,24.9,59.9,0.997,0,7.2,0.997,42,0.997,38,0.997,42,0.997,38,comparable,comparable,0.0,0.0,False,6.0
Perry North,Oakland,residents,5,3758.0,40.486971,-80.015944,40.443719,-79.958853,65.2,47.2,80.2,0.997,1,8.9,61.2,45.2,82.2,0.997,1,12.0,70.2,52.2,89.1,0.997,2,15.9,62.2,45.2,82.2,0.997,1,12.6,0.997,14,0.997,11,0.997,14,0.997,11,comparable,comparable,-4.0,-8.0,False,5.0
Perry South,Downtown,residents,5,3203.0,40.46864,-80.013891,40.440773,-79.999105,31.9,19.9,49.9,1.0,0,4.2,34.9,19.3,70.9,1.0,0,7.3,31.9,19.9,49.9,1.0,0,4.2,34.9,19.3,70.9,1.0,0,7.3,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,3.0,3.0,False,9.0
Perry South,Oakland,residents,5,3203.0,40.46864,-80.013891,40.443719,-79.958853,56.2,39.2,73.2,1.0,1,9.3,55.2,38.2,94.2,1.0,1,12.1,59.2,41.2,77.2,1.0,1,14.5,59.2,40.2,99.2,1.0,1,17.0,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-1.0,0.0,False,11.0
"Pitcairn borough (Allegheny, PA)",Downtown,residents,4,3722.0,40.4102,-79.766517,40.440773,-79.999105,125.0,78.0,155.0,0.167,3,36.6,86.0,65.5,128.0,0.167,0,21.5,125.0,78.0,155.0,0.167,3,45.9,86.0,65.5,128.0,0.167,0,21.5,0.167,42,0.167,38,0.167,42,0.167,38,comparable,comparable,-39.0,-39.0,False,
"Pitcairn borough (Allegheny, PA)",Oakland,residents,4,3722.0,40.4102,-79.766517,40.443719,-79.958853,116.0,89.0,147.0,0.167,1,31.4,90.4,66.4,135.4,0.167,1,30.5,116.0,89.0,147.0,0.167,1,32.9,90.4,66.4,135.4,0.167,1,30.5,0.167,14,0.167,11,0.167,14,0.167,11,comparable,comparable,-25.6,-25.6,False,
"Pleasant Hills borough (Allegheny, PA)",Downtown,residents,8,12216.0,40.32565,-79.959978,40.440773,-79.999105,54.4,41.4,79.4,0.107,0,10.9,60.4,46.4,83.4,0.107,0,9.0,54.4,41.4,79.4,0.107,0,10.9,60.4,46.4,83.4,0.107,0,9.0,0.228,42,0.228,38,0.228,42,0.228,38,comparable,comparable,6.0,6.0,False,5.0
"Pleasant Hills borough (Allegheny, PA)",Oakland,residents,8,12216.0,40.32565,-79.959978,40.443719,-79.958853,77.2,57.2,104.2,0.107,1,15.8,77.0,59.2,105.2,0.107,1,15.7,77.2,57.2,104.2,0.107,1,18.1,80.2,59.2,105.2,0.107,1,17.3,0.228,14,0.228,11,0.228,14,0.228,11,comparable,comparable,-0.2,3.0,True,5.2
"Plum borough (Allegheny, PA)",Downtown,residents,11,17529.0,40.476542,-79.735584,40.440773,-79.999105,96.7,92.7,100.7,0.008,1,34.2,,,,0.0,,,96.7,92.7,100.7,0.008,1,34.2,,,,0.0,,,0.299,42,0.164,38,0.299,42,0.164,38,no_journey,no_journey,,,,
"Plum borough (Allegheny, PA)",Oakland,residents,11,17529.0,40.476542,-79.735584,40.443719,-79.958853,110.0,106.0,114.0,0.008,2,37.5,,,,0.0,,,113.0,109.0,117.0,0.008,2,43.6,,,,0.0,,,0.299,14,0.164,11,0.299,14,0.164,11,no_journey,no_journey,,,,
Point Breeze,Downtown,residents,4,3654.0,40.448508,-79.912117,40.440773,-79.999105,42.0,30.7,66.0,1.0,1,8.9,42.5,29.7,59.5,1.0,1,9.4,45.6,30.7,69.0,1.0,1,10.3,43.5,31.4,59.5,1.0,1,9.6,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,0.5,-2.1,True,3.5
Point Breeze,Oakland,residents,4,3654.0,40.448508,-79.912117,40.443719,-79.958853,37.0,21.0,61.0,1.0,0,7.1,33.4,22.4,49.4,1.0,0,6.8,37.0,21.0,61.0,1.0,0,7.1,34.4,22.4,49.4,1.0,0,7.0,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-3.6,-2.6,False,10.0
Point Breeze North,Downtown,residents,2,1988.0,40.452268,-79.904755,40.440773,-79.999105,31.0,22.7,46.0,1.0,0,5.0,31.7,25.4,42.7,1.0,1,5.3,32.0,22.7,50.0,1.0,0,5.5,32.5,25.4,46.5,1.0,0,5.0,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,0.7,0.5,False,1.0
Point Breeze North,Oakland,residents,2,1988.0,40.452268,-79.904755,40.443719,-79.958853,32.0,24.0,43.0,1.0,0,4.0,29.4,23.4,40.4,1.0,0,4.2,32.0,24.0,44.0,1.0,0,4.0,29.4,23.4,40.4,1.0,0,4.1,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-2.6,-2.6,False,3.0
Polish Hill,Downtown,residents,2,1201.0,40.457787,-79.964734,40.440773,-79.999105,21.9,15.7,59.5,1.0,0,3.8,20.5,15.5,38.7,1.0,1,4.4,22.0,15.7,59.5,1.0,0,3.8,20.5,15.5,38.7,1.0,1,4.4,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,-1.4,-1.5,False,3.7
Polish Hill,Oakland,residents,2,1201.0,40.457787,-79.964734,40.443719,-79.958853,38.0,24.0,63.0,1.0,1,7.7,32.4,24.7,47.4,1.0,0,4.5,39.0,24.0,63.0,1.0,1,8.3,32.4,24.7,47.4,1.0,0,4.3,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-5.6,-6.6,False,1.7
"Rankin borough (Allegheny, PA)",Downtown,residents,2,1896.0,40.412375,-79.878512,40.440773,-79.999105,44.0,35.0,75.0,1.0,0,5.7,46.5,39.7,63.5,1.0,0,5.8,44.0,35.0,75.0,1.0,0,5.7,46.5,39.7,63.5,1.0,0,5.8,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,2.5,2.5,False,10.8
"Rankin borough (Allegheny, PA)",Oakland,residents,2,1896.0,40.412375,-79.878512,40.443719,-79.958853,49.0,37.0,61.0,1.0,0,6.4,47.4,39.4,61.4,1.0,0,6.3,49.0,37.0,61.0,1.0,0,6.4,47.4,39.4,61.4,1.0,0,6.3,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-1.6,-1.6,False,1.0
Regent Square,Downtown,residents,1,2644.0,40.440253,-79.896707,40.440773,-79.999105,41.7,31.7,50.0,1.0,0,6.0,41.5,35.5,46.5,1.0,0,4.1,42.0,31.7,50.0,1.0,1,6.2,41.5,35.5,46.5,1.0,0,3.4,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,-0.2,-0.5,False,
Regent Square,Oakland,residents,1,2644.0,40.440253,-79.896707,40.443719,-79.958853,29.0,24.0,33.0,1.0,0,2.4,31.4,27.4,35.4,1.0,0,2.2,29.0,24.0,33.0,1.0,0,2.4,31.4,27.4,35.4,1.0,0,2.2,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,2.4,2.4,False,
"Reserve township (Allegheny, PA)",Downtown,residents,4,3255.0,40.482482,-79.990136,40.440773,-79.999105,57.2,28.2,121.9,0.804,0,24.5,,,,0.0,,,57.2,28.2,121.9,0.804,0,24.5,,,,0.0,,,0.804,42,0.0,38,0.804,42,0.0,38,no_origin_coverage,no_origin_coverage,,,,
"Reserve township (Allegheny, PA)",Oakland,residents,4,3255.0,40.482482,-79.990136,40.443719,-79.958853,82.2,52.2,146.2,0.804,1,32.7,,,,0.0,,,89.0,56.2,151.2,0.804,2,33.4,,,,0.0,,,0.804,14,0.0,11,0.804,14,0.0,11,no_origin_coverage,no_origin_coverage,,,,
Ridgemont,Downtown,residents,1,849.0,40.343463,-79.907685,40.440773,-79.999105,86.1,63.1,106.1,1.0,2,24.5,87.9,60.9,115.9,1.0,1,24.1,86.1,63.1,106.1,1.0,2,24.5,87.9,60.9,115.9,1.0,1,24.5,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,1.8,1.8,False,
Ridgemont,Oakland,residents,1,849.0,40.343463,-79.907685,40.443719,-79.958853,96.2,70.2,119.0,1.0,3,28.6,100.2,79.4,135.2,1.0,2,28.8,102.0,76.2,123.2,1.0,3,29.8,100.2,79.4,135.2,1.0,2,31.8,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,4.0,-1.8,True,
"Robinson township (Allegheny, PA)",Downtown,residents,9,14913.0,40.455057,-80.130996,40.440773,-79.999105,60.2,42.7,87.7,0.224,1,10.4,62.3,44.7,86.7,0.224,0,9.7,60.3,42.7,87.7,0.224,1,10.4,62.3,44.7,86.7,0.224,0,9.8,0.224,42,0.224,38,0.224,42,0.224,38,comparable,comparable,2.1,2.0,False,1.4
"Robinson township (Allegheny, PA)",Oakland,residents,9,14913.0,40.455057,-80.130996,40.443719,-79.958853,80.2,61.2,102.2,0.224,1,18.2,82.2,63.2,101.2,0.224,1,17.4,80.2,61.2,102.2,0.224,1,15.8,82.2,63.2,101.2,0.224,1,16.4,0.224,14,0.224,11,0.224,14,0.224,11,comparable,comparable,2.0,2.0,False,4.0
"Ross township (Allegheny, PA)",Downtown,residents,19,30395.0,40.525163,-80.010514,40.440773,-79.999105,57.9,27.6,176.9,0.232,0,11.8,54.6,27.3,105.6,0.212,1,10.0,57.9,27.6,176.9,0.232,0,11.8,54.6,27.3,105.6,0.212,1,10.4,0.388,42,0.233,38,0.388,42,0.233,38,comparable,comparable,-3.3,-3.3,False,48.0
"Ross township (Allegheny, PA)",Oakland,residents,19,30395.0,40.525163,-80.010514,40.443719,-79.958853,84.2,54.2,206.6,0.232,1,16.6,73.2,24.7,129.2,0.212,1,16.6,86.2,54.2,207.1,0.232,2,19.2,73.2,24.7,129.2,0.212,1,18.3,0.388,14,0.233,11,0.388,14,0.233,11,comparable,comparable,-11.0,-13.0,False,48.0
"Scott township (Allegheny, PA)",Downtown,residents,12,18184.0,40.384285,-80.075358,40.440773,-79.999105,61.2,29.2,115.4,0.435,1,22.0,54.3,34.3,86.7,0.271,0,13.1,60.3,29.2,119.4,0.435,1,22.1,54.3,34.3,86.7,0.271,0,13.1,0.452,42,0.271,38,0.452,42,0.271,38,comparable,comparable,-6.9,-6.0,False,27.0
"Scott township (Allegheny, PA)",Oakland,residents,12,18184.0,40.384285,-80.075358,40.443719,-79.958853,82.2,49.2,140.2,0.435,1,27.2,74.2,50.2,103.2,0.271,1,24.1,85.2,52.2,147.2,0.435,2,29.7,74.2,50.2,103.2,0.271,1,25.1,0.452,14,0.271,11,0.452,14,0.271,11,comparable,comparable,-8.0,-11.0,False,16.0
"Sewickley borough (Allegheny, PA)",Downtown,residents,3,3907.0,40.539064,-80.181036,40.440773,-79.999105,77.3,55.3,104.3,1.0,1,25.4,95.9,66.5,126.5,1.0,0,27.3,77.3,55.3,104.3,1.0,1,25.4,95.9,66.5,126.5,1.0,0,27.3,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,18.6,18.6,False,5.0
"Sewickley borough (Allegheny, PA)",Oakland,residents,3,3907.0,40.539064,-80.181036,40.443719,-79.958853,102.2,80.2,128.2,1.0,2,32.1,115.2,85.2,145.2,1.0,1,34.5,102.2,80.2,128.2,1.0,2,31.3,115.2,85.2,145.2,1.0,2,35.1,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,13.0,13.0,False,5.0
Shadyside,Downtown,residents,12,13769.0,40.454275,-79.930234,40.440773,-79.999105,31.0,17.7,48.0,1.0,1,5.1,30.5,18.7,45.5,1.0,1,5.8,33.7,17.7,49.0,1.0,0,4.6,31.5,18.7,45.5,1.0,0,5.7,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,-0.5,-2.2,False,5.8
Shadyside,Oakland,residents,12,13769.0,40.454275,-79.930234,40.443719,-79.958853,24.0,14.0,37.0,1.0,0,3.0,22.4,14.4,34.4,1.0,0,3.2,24.0,14.0,37.0,1.0,0,3.0,22.4,14.4,34.4,1.0,0,3.5,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-1.6,-1.6,False,5.7
"Shaler township (Allegheny, PA)",Downtown,residents,15,22920.0,40.52741,-79.96238,40.440773,-79.999105,71.9,32.2,109.9,0.193,0,21.1,54.3,32.3,78.3,0.175,0,15.7,71.9,32.2,109.9,0.193,0,21.1,54.3,32.3,78.3,0.175,0,15.7,0.254,42,0.254,38,0.254,42,0.254,38,comparable,comparable,-17.6,-17.6,False,1.0
"Shaler township (Allegheny, PA)",Oakland,residents,15,22920.0,40.52741,-79.96238,40.443719,-79.958853,93.2,60.2,128.2,0.193,1,27.6,75.2,48.2,98.4,0.175,1,22.9,93.2,60.2,128.2,0.193,1,28.7,75.2,48.2,98.4,0.175,1,25.6,0.254,14,0.254,11,0.254,14,0.254,11,comparable,comparable,-18.0,-18.0,False,1.8
