place,anchor,origin_source,origin_points,origin_population,origin_centre_lat,origin_centre_lon,dest_lat,dest_lon,headline_current_median_min,headline_current_best_min,headline_current_worst_min,headline_current_reachable_fraction,headline_current_median_transfers,headline_current_median_wait_min,headline_proposed_median_min,headline_proposed_best_min,headline_proposed_worst_min,headline_proposed_reachable_fraction,headline_proposed_median_transfers,headline_proposed_median_wait_min,strict_current_median_min,strict_current_best_min,strict_current_worst_min,strict_current_reachable_fraction,strict_current_median_transfers,strict_current_median_wait_min,strict_proposed_median_min,strict_proposed_best_min,strict_proposed_worst_min,strict_proposed_reachable_fraction,strict_proposed_median_transfers,strict_proposed_median_wait_min,headline_current_origin_coverage_fraction,headline_current_dest_access_stops,headline_proposed_origin_coverage_fraction,headline_proposed_dest_access_stops,strict_current_origin_coverage_fraction,strict_current_dest_access_stops,strict_proposed_origin_coverage_fraction,strict_proposed_dest_access_stops,headline_classification,strict_classification,change_headline_min,change_strict_min,sign_flips_between_radii,spread_headline_min
"East Deer township (Allegheny, PA)",Downtown,residents,5,6262.0,40.579371,-79.76757,40.440773,-79.999105,97.9,64.0,123.9,0.238,0,14.8,135.5,81.4,176.5,1.0,2,35.1,97.9,64.0,123.9,0.238,0,14.8,135.7,81.4,176.7,1.0,2,38.2,0.238,42,1.0,38,0.238,42,1.0,38,comparable,comparable,37.6,37.8,False,
"East Deer township (Allegheny, PA)",Oakland,residents,5,6262.0,40.579371,-79.76757,40.443719,-79.958853,114.0,75.0,148.0,0.238,1,22.4,131.4,83.4,177.4,1.0,2,35.8,114.0,76.0,148.0,0.238,1,23.4,134.4,83.4,177.4,1.0,2,37.5,0.238,14,1.0,11,0.238,14,1.0,11,comparable,comparable,17.4,20.4,False,
East Hills,Downtown,residents,4,4472.0,40.456272,-79.875546,40.440773,-79.999105,56.0,36.7,94.0,1.0,1,13.7,55.5,38.5,78.7,1.0,1,15.4,58.0,36.7,94.0,1.0,1,17.2,55.5,38.5,78.7,1.0,1,16.1,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,-0.5,-2.5,False,10.0
East Hills,Oakland,residents,4,4472.0,40.456272,-79.875546,40.443719,-79.958853,62.0,41.0,87.0,1.0,1,15.0,56.7,34.4,81.4,1.0,1,18.7,63.0,43.0,92.0,1.0,1,17.8,56.7,34.4,85.4,1.0,1,19.4,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-5.3,-6.3,False,11.0
East Liberty,Downtown,residents,7,6187.0,40.46526,-79.925419,40.440773,-79.999105,34.9,25.7,50.0,1.0,1,7.2,35.5,26.5,51.0,1.0,1,7.0,41.0,28.0,60.0,1.0,0,5.7,37.7,26.7,52.5,1.0,0,5.4,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,0.6,-3.3,True,5.7
East Liberty,Oakland,residents,7,6187.0,40.46526,-79.925419,40.443719,-79.958853,33.0,22.0,45.0,1.0,0,3.5,29.4,20.4,41.4,1.0,0,3.7,33.0,22.0,46.0,1.0,0,3.6,30.4,20.4,41.4,1.0,0,3.9,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-3.6,-2.6,False,5.3
"East McKeesport borough (Allegheny, PA)",Downtown,residents,1,1274.0,40.381986,-79.810447,40.440773,-79.999105,60.0,47.0,76.0,0.542,0,13.4,72.4,54.4,91.4,0.317,0,18.4,60.0,47.0,76.0,0.542,0,13.4,72.4,54.4,91.4,0.317,0,18.4,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,12.4,12.4,False,
"East McKeesport borough (Allegheny, PA)",Oakland,residents,1,1274.0,40.381986,-79.810447,40.443719,-79.958853,73.0,57.0,92.0,0.542,1,17.1,81.4,63.4,100.4,0.317,1,33.7,76.0,57.0,97.0,0.542,1,22.7,81.4,63.4,100.4,0.317,1,33.7,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,8.4,5.4,False,
"East Pittsburgh borough (Allegheny, PA)",Downtown,residents,2,1927.0,40.397697,-79.839864,40.440773,-79.999105,59.0,39.0,82.0,1.0,0,13.7,64.5,47.7,91.0,1.0,1,13.7,59.0,39.0,82.0,1.0,0,13.9,64.5,47.7,91.0,1.0,1,14.5,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,5.5,5.5,False,2.3
"East Pittsburgh borough (Allegheny, PA)",Oakland,residents,2,1927.0,40.397697,-79.839864,40.443719,-79.958853,65.0,49.0,85.0,1.0,1,13.0,67.4,46.4,98.4,1.0,1,18.3,66.0,49.0,87.0,1.0,1,11.3,67.4,46.4,98.4,1.0,1,18.3,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,2.4,1.4,False,3.0
