current_routes,proposed_routes,n_current_routes,n_proposed_routes,status,cur_weekday_trips,prop_weekday_trips,cur_weekday_hours,prop_weekday_hours,pct_weekday_trips,pct_weekday_hours,cur_saturday_trips,prop_saturday_trips,cur_saturday_hours,prop_saturday_hours,pct_saturday_trips,pct_saturday_hours,cur_sunday_trips,prop_sunday_trips,cur_sunday_hours,prop_sunday_hours,pct_sunday_trips,pct_sunday_hours,riders_weekday
,84,0,1,new,0,66.0,0,35.9,,,0,68.0,0,35.6,,,0,46.0,0,24.0,,,0
,63,0,1,new,0,32.0,0,14.5,,,0,30.0,0,14.4,,,0,26.0,0,12.4,,,0
,5,0,1,new,0,66.0,0,47.5,,,0,48.0,0,33.9,,,0,32.0,0,22.9,,,0
,92,0,1,new,0,70.0,0,50.2,,,0,66.0,0,45.3,,,0,46.0,0,28.7,,,0
,45,0,1,new,0,70.0,0,57.9,,,0,68.0,0,53.9,,,0,46.0,0,35.8,,,0
,89;89S,0,2,new,0,32.0,0,20.1,,,0,30.0,0,13.4,,,0,26.0,0,11.6,,,0
,18,0,1,new,0,19.0,0,50.1,,,0,0,0,0.0,,,0,0,0,0.0,,,0
,34,0,1,new,0,38.0,0,25.5,,,0,30.0,0,19.9,,,0,28.0,0,18.2,,,0
,25,0,1,new,0,60.0,0,45.9,,,0,48.0,0,41.1,,,0,32.0,0,27.7,,,0
,3,0,1,new,0,32.0,0,17.1,,,0,30.0,0,16.8,,,0,26.0,0,15.0,,,0
,17,0,1,new,0,38.0,0,23.8,,,0,30.0,0,16.6,,,0,28.0,0,14.7,,,0
,9,0,1,new,0,34.0,0,37.8,,,0,30.0,0,32.0,,,0,28.0,0,29.9,,,0
,66,0,1,new,0,38.0,0,33.0,,,0,30.0,0,26.2,,,0,28.0,0,24.3,,,0
