STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,POPULATION,LATITUDE,LONGITUDE
42,003,130800,2,885,+40.455807,-079.897575
42,003,130800,3,805,+40.452123,-079.892304
42,003,140100,1,3647,+40.444854,-079.940522
42,003,140100,2,1921,+40.441164,-079.934855
42,003,140100,3,11,+40.438870,-079.937816
42,003,140200,1,1305,+40.448989,-079.924069
42,003,140200,2,1466,+40.447307,-079.930192
42,003,140300,1,793,+40.444285,-079.914282
42,003,140300,2,949,+40.439801,-079.923684
42,003,140300,3,783,+40.442573,-079.923909
42,003,140300,4,84,+40.439519,-079.914570
42,003,140300,5,920,+40.440482,-079.916856
42,003,140400,1,716,+40.451490,-079.912354
42,003,140400,2,669,+40.447340,-079.914569
42,003,140400,3,927,+40.448242,-079.918108
42,003,140500,1,736,+40.450292,-079.899961
42,003,140500,2,1252,+40.453430,-079.907573
42,003,140800,1,1993,+40.432022,-079.914650
42,003,140800,2,1822,+40.435301,-079.919540
42,003,140800,3,843,+40.430957,-079.921230
42,003,141100,1,1339,+40.421479,-079.903142
42,003,141200,1,21,+40.427746,-079.900219
42,003,141200,2,2644,+40.440253,-079.896707
42,003,141200,3,1342,+40.447684,-079.906630
42,003,141300,1,1461,+40.435909,-079.928064
42,003,141300,2,1536,+40.431687,-079.929667
42,003,141300,3,2051,+40.432213,-079.925762
42,003,141400,1,1029,+40.421765,-079.923690
42,003,141400,2,671,+40.424426,-079.920462
42,003,141400,3,1033,+40.426866,-079.919230
42,003,141400,4,1894,+40.418931,-079.917978
42,003,141400,5,966,+40.428158,-079.923651
42,003,151600,1,1160,+40.423466,-079.941412
42,003,151600,2,1145,+40.424872,-079.945618
42,003,151700,1,885,+40.423140,-079.927872
42,003,151700,2,649,+40.427092,-079.933840
42,003,151700,3,731,+40.422717,-079.938660
42,003,151700,4,674,+40.421570,-079.935289
42,003,151700,5,898,+40.421434,-079.931508
42,003,151700,6,1119,+40.425399,-079.931515
42,003,160800,1,1872,+40.421410,-079.970302
42,003,160800,2,680,+40.419412,-079.969622
42,003,160900,1,1151,+40.428992,-079.970552
42,003,160900,2,1410,+40.425325,-079.966091
42,003,160900,3,922,+40.426963,-079.973971
42,003,161000,1,2666,+40.414432,-079.972292
42,003,170200,1,774,+40.429035,-079.987804
42,003,170200,2,825,+40.430229,-079.980040
42,003,170200,3,1249,+40.427141,-079.985016
42,003,170200,4,1136,+40.427159,-079.979660
42,003,170600,1,1132,+40.423962,-079.983335
42,003,170600,2,643,+40.420284,-079.984640
42,003,180300,1,1032,+40.423422,-079.994066
42,003,180300,2,677,+40.420821,-079.992890
42,003,180300,3,596,+40.419196,-079.992787
42,003,180700,1,628,+40.426416,-080.001514
42,003,180700,2,632,+40.424673,-080.001182
42,003,180700,3,790,+40.422831,-080.000958
42,003,190300,1,1214,+40.434755,-080.015097
42,003,190300,2,716,+40.431100,-080.015063
42,003,191100,1,935,+40.433280,-080.021815
42,003,191100,2,1462,+40.437965,-080.023858
42,003,191400,1,1337,+40.429224,-080.007845
42,003,191400,2,1388,+40.426798,-080.012149
42,003,191500,1,709,+40.419918,-080.011241
42,003,191500,2,1296,+40.422688,-080.009194
42,003,191600,1,776,+40.421423,-080.024377
42,003,191600,2,765,+40.412883,-080.017587
42,003,191600,3,668,+40.411702,-080.020549
42,003,191600,4,873,+40.413627,-080.024495
42,003,191600,5,1059,+40.411581,-080.027110
42,003,191700,1,2116,+40.403488,-080.011425
42,003,191700,2,1275,+40.401596,-080.017640
42,003,191800,1,722,+40.392283,-080.020290
42,003,191800,2,657,+40.390550,-080.022706
42,003,191800,3,648,+40.389733,-080.016904
42,003,191800,4,766,+40.393471,-080.026548
42,003,191800,5,702,+40.385619,-080.013668
42,003,191800,6,941,+40.386428,-080.009429
42,003,191800,7,816,+40.390051,-080.012325
42,003,191900,1,777,+40.397121,-080.019921
42,003,191900,2,814,+40.394789,-080.019192
42,003,191900,3,586,+40.396250,-080.026673
42,003,192000,1,682,+40.405959,-080.022192
42,003,192000,2,602,+40.401496,-080.025883
42,003,192000,3,694,+40.404835,-080.030501
42,003,192000,4,898,+40.401330,-080.029742
42,003,192000,5,579,+40.408476,-080.023590
42,003,202200,1,1299,+40.452412,-080.063982
42,003,202200,2,549,+40.455165,-080.062782
42,003,202200,3,702,+40.458386,-080.063829
42,003,202300,1,818,+40.418663,-080.035167
42,003,202300,2,1107,+40.403100,-080.045730
42,003,202300,3,925,+40.407990,-080.042296
42,003,202300,4,1277,+40.413531,-080.035579
42,003,241300,1,1577,+40.463279,-079.983408
42,003,241300,2,1068,+40.461328,-079.986382
42,003,241300,3,750,+40.465038,-079.990001
42,003,250900,1,697,+40.460906,-080.005698
42,003,250900,2,443,+40.463698,-080.006030
42,003,260200,1,628,+40.490409,-080.013807
42,003,260200,2,1464,+40.491212,-080.021055
42,003,260700,1,718,+40.485056,-080.012564
42,003,260700,2,935,+40.479609,-080.011892
42,003,261300,1,1769,+40.477377,-080.000679
42,003,261300,2,998,+40.494512,-080.009769
42,003,261400,1,643,+40.465413,-080.016601
42,003,261400,2,472,+40.462468,-080.013134
42,003,261400,3,564,+40.467477,-080.011574
42,003,261400,4,562,+40.467855,-080.007578
42,003,261500,1,719,+40.472987,-080.010739
42,003,261500,2,805,+40.471770,-080.016607
42,003,262000,1,1083,+40.463242,-079.993023
42,003,262000,2,726,+40.467745,-079.993097
42,003,262000,3,591,+40.468995,-079.993826
42,003,270100,1,1523,+40.484583,-080.039539
42,003,270100,2,1055,+40.483315,-080.044075
42,003,270300,1,1127,+40.478474,-080.035288
42,003,270300,2,779,+40.477203,-080.039601
42,003,270800,1,726,+40.488230,-080.037359
42,003,270800,2,992,+40.481801,-080.031651
42,003,270800,3,903,+40.486669,-080.030384
42,003,271600,1,759,+40.476225,-080.026512
42,003,271600,2,1185,+40.470517,-080.029534
42,003,271600,3,1134,+40.471597,-080.033913
42,003,271600,4,968,+40.465836,-080.028562
42,003,281400,1,840,+40.449440,-080.057484
42,003,281400,2,1712,+40.445468,-080.051043
42,003,281500,1,488,+40.440928,-080.051047
42,003,281500,2,959,+40.440371,-080.056415
42,003,290100,1,633,+40.402279,-079.993884
42,003,290100,2,697,+40.397292,-079.991185
42,003,290100,3,800,+40.393884,-079.989867
42,003,290200,1,927,+40.401636,-079.982674
42,003,290200,2,955,+40.391395,-079.983967
42,003,290200,3,617,+40.395157,-079.984137
42,003,290200,4,678,+40.399482,-079.986623
42,003,290200,5,964,+40.403736,-079.987734
42,003,290400,1,1281,+40.386476,-079.987939
42,003,290400,2,1240,+40.387229,-079.982129
42,003,290400,3,616,+40.382621,-079.979933
42,003,290400,4,882,+40.390332,-079.976376
42,003,300100,1,787,+40.417111,-079.992158
42,003,300100,2,772,+40.414860,-079.992536
42,003,300100,3,639,+40.412838,-079.992846
42,003,300100,4,655,+40.411053,-079.993301
42,003,300100,5,640,+40.408810,-079.993932
42,003,310200,1,666,+40.377271,-079.912137
42,003,310200,2,1774,+40.367584,-079.912465
42,003,310200,3,715,+40.373853,-079.916807
42,003,320400,1,715,+40.381997,-079.990988
42,003,320400,2,1155,+40.389210,-079.994062
42,003,320600,1,1102,+40.395808,-080.008729
42,003,320600,2,1141,+40.393105,-080.004421
42,003,320700,1,1117,+40.385223,-080.001268
42,003,320700,2,496,+40.377841,-079.999720
42,003,401100,1,1414,+40.647460,-079.715071
42,003,401100,2,1410,+40.637196,-079.707196
42,003,401100,3,822,+40.628042,-079.715521
42,003,401100,4,955,+40.633683,-079.720127
42,003,401200,1,619,+40.614333,-079.721949
42,003,401200,2,1027,+40.619534,-079.724580
42,003,401200,3,510,+40.611235,-079.724198
42,003,401200,4,755,+40.613219,-079.733391
42,003,401300,1,1275,+40.624890,-079.727673
42,003,401300,2,600,+40.622665,-079.735898
42,003,401300,3,770,+40.616877,-079.739792
42,003,402000,1,625,+40.613113,-079.739879
42,003,402000,2,588,+40.609511,-079.738682
42,003,402000,3,1096,+40.608454,-079.745315
42,003,402000,4,931,+40.604507,-079.739643
42,003,403500,1,862,+40.604084,-079.763076
42,003,403500,2,708,+40.607170,-079.753222
42,003,403500,3,1147,+40.604551,-079.752465
42,003,403500,4,934,+40.602137,-079.749851
42,003,403500,5,701,+40.599713,-079.762803
42,003,404000,1,1490,+40.582244,-079.779724
42,003,405000,1,1161,+40.606774,-079.794685
42,003,406000,1,1611,+40.646033,-079.774269
42,003,406000,2,599,+40.656411,-079.734352
42,003,407001,1,724,+40.644021,-079.827903
42,003,407001,2,1301,+40.649317,-079.847193
42,003,407001,3,1787,+40.638479,-079.862259
42,003,407001,4,1774,+40.637435,-079.909312
42,003,407002,1,1281,+40.608720,-079.839215
42,003,407002,2,1496,+40.614491,-079.861977
42,003,407002,3,980,+40.624672,-079.879230
42,003,407002,4,2919,+40.606959,-079.911784
42,003,408001,1,1723,+40.650050,-079.929901
42,003,408001,2,2415,+40.655958,-079.960634
42,003,408001,3,1495,+40.645198,-079.953000
42,003,408002,1,2514,+40.625103,-079.959163
42,003,408002,2,1291,+40.631118,-079.926608
42,003,408002,3,2504,+40.622627,-079.933309
42,003,409001,1,1068,+40.642621,-080.060011
42,003,409001,2,2668,+40.630075,-080.008245
42,003,409001,3,3532,+40.634342,-080.045726
42,003,409001,4,1924,+40.626271,-080.064431
42,003,409002,1,2324,+40.663687,-080.055328
42,003,409002,2,3175,+40.660860,-080.017776
42,003,410000,1,1183,+40.636837,-080.082749
42,003,411001,1,1781,+40.638675,-080.121409
42,003,411001,2,2223,+40.660251,-080.116086
42,003,411002,1,3568,+40.657877,-080.083178
42,003,411002,2,2508,+40.624609,-080.081800
42,003,412002,1,1917,+40.572450,-080.085467
42,003,412002,2,2948,+40.565350,-080.071404
42,003,412003,1,2086,+40.588834,-080.086016
42,003,412003,2,1728,+40.601520,-080.087239
42,003,412003,3,2498,+40.606802,-080.077134
42,003,412004,1,1383,+40.581753,-080.113768
42,003,412004,2,2919,+40.600506,-080.105038
42,003,413100,1,1283,+40.602844,-080.012405
42,003,413100,2,2146,+40.593762,-080.032551
42,003,413100,3,1407,+40.599845,-080.043612
42,003,413100,4,2162,+40.603654,-080.059026
42,003,413201,1,817,+40.575912,-080.031127
42,003,413201,2,1314,+40.577214,-080.048262
42,003,413201,3,1695,+40.570799,-080.042124
42,003,413202,1,1077,+40.586409,-080.055339
42,003,413202,2,1783,+40.572691,-080.058392
42,003,413300,1,1759,+40.560844,-080.030709
42,003,413300,2,2413,+40.560280,-080.050412
42,003,413300,3,704,+40.557870,-080.062174
42,003,413400,1,1607,+40.561781,-080.000959
42,003,413400,2,1303,+40.559410,-080.013969
42,003,413400,3,1607,+40.559128,-079.993321
42,003,413500,1,950,+40.583605,-080.007034
42,003,413500,2,2164,+40.575525,-080.020611
42,003,413500,3,1448,+40.572450,-079.997337
42,003,413500,4,2059,+40.576613,-080.004869
42,003,414101,1,2169,+40.609195,-079.934297
42,003,414101,2,1272,+40.587987,-079.934314
42,003,414101,3,923,+40.598990,-079.941423
42,003,414101,4,1135,+40.607315,-079.923779
42,003,414102,1,2826,+40.601055,-079.957729
42,003,414102,2,2336,+40.578256,-079.964154
42,003,414102,3,1882,+40.593831,-079.979209
42,003,414200,1,1020,+40.561435,-079.963011
42,003,414200,2,1718,+40.560106,-079.979224
42,003,414200,3,1515,+40.562426,-079.942678
42,003,414200,4,1683,+40.574638,-079.934687
42,003,415001,1,1070,+40.586393,-079.884178
42,003,415001,2,1486,+40.571971,-079.880682
42,003,415001,3,2094,+40.577276,-079.833740
42,003,415002,1,1450,+40.556831,-079.891237
42,003,415002,2,1154,+40.544316,-079.930172
42,003,416000,1,831,+40.553028,-079.805038
42,003,416000,2,709,+40.553542,-079.790235
42,003,417100,1,806,+40.543724,-079.778058
42,003,417100,2,748,+40.542741,-079.785880
42,003,417100,3,612,+40.545227,-079.788479
42,003,417200,1,1234,+40.539732,-079.781506
42,003,418000,1,1672,+40.544034,-079.800741
42,003,419000,1,1016,+40.548321,-079.821846
42,003,419000,2,762,+40.544013,-079.811859
42,003,419000,3,1355,+40.543957,-079.858703
42,003,420000,1,1454,+40.493776,-079.861542
42,003,421100,1,1230,+40.519143,-079.860322
42,003,421100,2,878,+40.501119,-079.856713
42,003,421100,3,2019,+40.498682,-079.872633
42,003,421100,4,842,+40.493817,-079.883649
42,003,421200,1,1868,+40.508823,-079.927499
42,003,421200,2,1101,+40.505881,-079.915818
42,003,421200,3,300,+40.495067,-079.899281
42,003,421200,4,1046,+40.527225,-079.923488
42,003,422000,1,1754,+40.539800,-079.876883
42,003,422000,2,823,+40.514285,-079.878242
42,003,422000,3,848,+40.497827,-079.893607
42,003,422000,4,1918,+40.522805,-079.901211
42,003,423000,1,991,+40.497205,-079.904938
42,003,423000,2,1032,+40.490857,-079.899888
42,003,423000,3,893,+40.492277,-079.905382
42,003,424000,1,842,+40.495373,-079.919939
42,003,424000,2,604,+40.494721,-079.922939
42,003,424000,3,753,+40.494613,-079.934635
42,003,424000,4,988,+40.496333,-079.931511
42,003,425000,1,562,+40.506008,-079.948346
42,003,425000,2,967,+40.503835,-079.953449
42,003,425000,3,1116,+40.497868,-079.947037
42,003,425000,4,792,+40.494653,-079.946715
42,003,426300,1,1606,+40.546375,-079.966088
42,003,426300,2,2012,+40.538437,-079.978353
42,003,426300,3,2364,+40.549185,-079.980035
42,003,426400,1,917,+40.527044,-079.958969
42,003,426400,2,995,+40.518575,-079.956165
42,003,426400,3,998,+40.509434,-079.954655
42,003,426400,4,1525,+40.523325,-079.964938
42,003,426700,1,709,+40.503703,-079.938819
42,003,426700,2,1594,+40.520826,-079.944110
42,003,426800,1,1350,+40.549771,-079.949747
42,003,426800,2,2376,+40.542097,-079.950388
42,003,426800,3,1424,+40.535516,-079.945715
42,003,427000,1,1314,+40.488411,-079.972678
42,003,427000,2,771,+40.478614,-079.973711
42,003,427000,3,1291,+40.481448,-079.975370
42,003,427100,1,1671,+40.507089,-079.980872
42,003,427100,2,1739,+40.529491,-079.982308
42,003,427100,3,1930,+40.516392,-079.975276
42,003,427200,1,1257,+40.499459,-079.957886
42,003,427200,2,1194,+40.499470,-079.972435
42,003,427200,3,1378,+40.493152,-079.962704
42,003,427200,4,1093,+40.485829,-079.965595
42,003,428100,1,570,+40.475319,-079.981692
42,003,428100,2,617,+40.471181,-079.982962
42,003,428200,1,638,+40.487113,-079.986548
42,003,428200,2,1430,+40.488147,-079.998198
42,003,429100,1,1211,+40.504667,-080.000557
42,003,429100,2,1396,+40.510445,-080.018600
42,003,429201,1,1938,+40.549448,-079.998993
42,003,429201,2,3003,+40.542132,-080.007287
42,003,429202,1,1298,+40.534323,-079.993164
42,003,429202,2,1348,+40.517866,-079.990426
42,003,429202,3,1959,+40.521353,-079.999503
42,003,429300,1,2070,+40.548511,-080.043772
42,003,429300,2,1482,+40.535612,-080.040765
42,003,429300,3,2078,+40.526767,-080.052424
42,003,429300,4,916,+40.542405,-080.058254
42,003,429400,1,672,+40.543066,-080.032477
42,003,429400,2,1722,+40.535095,-080.030338
42,003,429400,3,1319,+40.527607,-080.027216
42,003,429400,4,785,+40.526312,-080.020937
42,003,429500,1,1876,+40.549126,-080.026175
42,003,429500,2,1876,+40.540838,-080.018390
42,003,429500,3,660,+40.525441,-080.011786
42,003,429600,1,2598,+40.511937,-080.044696
42,003,429600,2,990,+40.500636,-080.046970
42,003,429700,1,1416,+40.500532,-080.031200
42,003,429700,2,954,+40.495318,-080.039298
42,003,430100,1,778,+40.516125,-080.021767
42,003,430100,2,1356,+40.514342,-080.025756
42,003,430200,1,800,+40.523977,-080.036476
42,003,430200,2,1255,+40.519473,-080.031334
42,003,430200,3,1004,+40.520072,-080.036099
42,003,430200,4,726,+40.520044,-080.044476
42,003,430200,5,766,+40.516272,-080.044775
42,003,431100,1,1649,+40.492980,-080.050072
42,003,431100,2,1604,+40.488769,-080.051658
42,003,431400,1,1893,+40.502381,-080.055144
42,003,431500,1,682,+40.499493,-080.058790
42,003,431500,2,856,+40.497754,-080.054112
42,003,431500,3,960,+40.494357,-080.056313
42,003,431500,4,667,+40.492127,-080.058656
42,003,432300,1,1092,+40.504852,-080.068226
42,003,432300,2,1091,+40.500874,-080.064363
42,003,432400,1,934,+40.497470,-080.063930
42,003,432400,2,837,+40.500028,-080.069263
42,003,432400,3,808,+40.499499,-080.070336
42,003,434000,1,923,+40.505874,-080.078106
42,003,434000,2,995,+40.507662,-080.083990
42,003,435000,1,1364,+40.513434,-080.095737
42,003,435000,2,1161,+40.510812,-080.097947
42,003,437000,1,4262,+40.538402,-080.083245
42,003,437000,2,2916,+40.552899,-080.106966
42,003,439000,1,1505,+40.590102,-080.173968
42,003,445500,1,1080,+40.539693,-080.175393
42,003,445500,2,1619,+40.541350,-080.185419
42,003,445500,3,1208,+40.535438,-080.180208
42,003,446000,1,864,+40.552556,-080.188852
42,003,446000,2,805,+40.551784,-080.195699
42,003,447000,1,1624,+40.576475,-080.209301
42,003,448000,1,1162,+40.566410,-080.209728
42,003,449000,1,861,+40.560600,-080.231038
42,003,449000,2,1627,+40.553142,-080.231146
42,003,450700,1,1412,+40.510537,-080.154753
42,003,450700,2,1621,+40.514317,-080.164044
42,003,450800,1,901,+40.519444,-080.170919
42,003,450800,2,872,+40.519396,-080.161867
42,003,450800,3,753,+40.516143,-080.172579
42,003,451101,1,2171,+40.540704,-080.225005
42,003,451101,2,1621,+40.529441,-080.214965
42,003,451102,1,2003,+40.527616,-080.191361
42,003,451102,2,985,+40.520677,-080.198925
42,003,451102,3,1750,+40.513458,-080.209658
42,003,451102,4,1309,+40.521321,-080.213910
42,003,451104,1,2131,+40.530707,-080.259829
42,003,451104,2,1835,+40.537617,-080.248679
42,003,451105,1,1504,+40.508434,-080.216744
42,003,451105,2,1447,+40.509228,-080.228533
42,003,451105,3,2674,+40.519638,-080.236646
42,003,451300,1,842,+40.471136,-080.175113
42,003,451300,2,1299,+40.501803,-080.166898
42,003,451300,3,1321,+40.511561,-080.185947
42,003,451300,4,2280,+40.481287,-080.166556
42,003,451300,5,1030,+40.495976,-080.163656
42,003,451300,6,1038,+40.499333,-080.192596
42,003,452000,1,844,+40.501336,-080.296519
42,003,452000,2,1839,+40.458890,-080.209218
42,003,452000,3,1680,+40.458396,-080.247618
42,003,452000,4,2009,+40.473370,-080.295914
42,003,453003,1,1584,+40.423519,-080.195003
42,003,453003,2,600,+40.439738,-080.197675
42,003,453004,1,1768,+40.450176,-080.220498
42,003,453004,2,1964,+40.444030,-080.213721
42,003,453004,3,2701,+40.445491,-080.201126
42,003,453004,4,825,+40.444130,-080.224437
42,003,455000,1,1475,+40.400685,-080.186242
42,003,456001,1,1342,+40.360192,-080.153758
42,003,456001,2,3337,+40.372575,-080.149429
42,003,456003,1,1050,+40.340774,-080.162404
42,003,456003,2,988,+40.340769,-080.122508
42,003,456003,3,4062,+40.368895,-080.185219
42,003,456003,4,1959,+40.346451,-080.132439
42,003,456004,1,2294,+40.330118,-080.117816
42,003,456004,2,837,+40.327962,-080.138639
42,003,456004,3,2489,+40.323882,-080.130066
42,003,457100,1,721,+40.363397,-080.114882
42,003,457100,2,685,+40.358195,-080.113463
42,003,457200,1,541,+40.360835,-080.103423
42,003,457200,2,730,+40.358561,-080.100928
42,003,457200,3,1260,+40.353825,-080.100819
42,003,457200,4,867,+40.352755,-080.107470
42,003,458001,1,1795,+40.388820,-080.150249
